precinct,party,candidate,votes
1,,Write-in,2
1,DEM,Joseph R. Biden / Kamala D. Harris,92
1,GRN,Howie Hawkins / Angela Walker,1
1,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",0
1,REP,Donald J. Trump / Michael R. Pence,734
11,,Write-in,0
11,DEM,Joseph R. Biden / Kamala D. Harris,32
11,GRN,Howie Hawkins / Angela Walker,0
11,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",1
11,REP,Donald J. Trump / Michael R. Pence,251
12,,Write-in,0
12,DEM,Joseph R. Biden / Kamala D. Harris,32
12,GRN,Howie Hawkins / Angela Walker,0
12,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",3
12,REP,Donald J. Trump / Michael R. Pence,266
15,,Write-in,0
15,DEM,Joseph R. Biden / Kamala D. Harris,18
15,GRN,Howie Hawkins / Angela Walker,0
15,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",0
15,REP,Donald J. Trump / Michael R. Pence,129
16,,Write-in,0
16,DEM,Joseph R. Biden / Kamala D. Harris,33
16,GRN,Howie Hawkins / Angela Walker,1
16,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",1
16,REP,Donald J. Trump / Michael R. Pence,352
17,,Write-in,0
17,DEM,Joseph R. Biden / Kamala D. Harris,23
17,GRN,Howie Hawkins / Angela Walker,0
17,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",1
17,REP,Donald J. Trump / Michael R. Pence,234
19,,Write-in,0
19,DEM,Joseph R. Biden / Kamala D. Harris,33
19,GRN,Howie Hawkins / Angela Walker,0
19,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",1
19,REP,Donald J. Trump / Michael R. Pence,297
2,,Write-in,0
2,DEM,Joseph R. Biden / Kamala D. Harris,187
2,GRN,Howie Hawkins / Angela Walker,1
2,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",3
2,REP,Donald J. Trump / Michael R. Pence,926
20,,Write-in,0
20,DEM,Joseph R. Biden / Kamala D. Harris,15
20,GRN,Howie Hawkins / Angela Walker,0
20,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",0
20,REP,Donald J. Trump / Michael R. Pence,69
23,,Write-in,0
23,DEM,Joseph R. Biden / Kamala D. Harris,105
23,GRN,Howie Hawkins / Angela Walker,1
23,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",4
23,REP,Donald J. Trump / Michael R. Pence,839
26,,Write-in,0
26,DEM,Joseph R. Biden / Kamala D. Harris,65
26,GRN,Howie Hawkins / Angela Walker,0
26,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",1
26,REP,Donald J. Trump / Michael R. Pence,124
27,,Write-in,0
27,DEM,Joseph R. Biden / Kamala D. Harris,22
27,GRN,Howie Hawkins / Angela Walker,0
27,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",0
27,REP,Donald J. Trump / Michael R. Pence,147
29,,Write-in,2
29,DEM,Joseph R. Biden / Kamala D. Harris,115
29,GRN,Howie Hawkins / Angela Walker,1
29,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",5
29,REP,Donald J. Trump / Michael R. Pence,854
30,,Write-in,1
30,DEM,Joseph R. Biden / Kamala D. Harris,169
30,GRN,Howie Hawkins / Angela Walker,1
30,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",7
30,REP,Donald J. Trump / Michael R. Pence,991
31,,Write-in,3
31,DEM,Joseph R. Biden / Kamala D. Harris,111
31,GRN,Howie Hawkins / Angela Walker,2
31,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",4
31,REP,Donald J. Trump / Michael R. Pence,758
32,,Write-in,0
32,DEM,Joseph R. Biden / Kamala D. Harris,26
32,GRN,Howie Hawkins / Angela Walker,0
32,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",1
32,REP,Donald J. Trump / Michael R. Pence,206
7,,Write-in,0
7,DEM,Joseph R. Biden / Kamala D. Harris,39
7,GRN,Howie Hawkins / Angela Walker,0
7,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",1
7,REP,Donald J. Trump / Michael R. Pence,201
8,,Write-in,4
8,DEM,Joseph R. Biden / Kamala D. Harris,66
8,GRN,Howie Hawkins / Angela Walker,0
8,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",4
8,REP,Donald J. Trump / Michael R. Pence,508
9,,Write-in,2
9,DEM,Joseph R. Biden / Kamala D. Harris,150
9,GRN,Howie Hawkins / Angela Walker,0
9,LIB,"Jo Jorgensen / Jeremy ""Spike"" Cohen",9
9,REP,Donald J. Trump / Michael R. Pence,918
