precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
1,9,28,158,60,1000,1255,0.72%,2.23%,12.59%,4.78%,79.68%
2,13,88,177,50,1431,1759,0.74%,5.00%,10.06%,2.84%,81.35%
3,33,136,304,70,2449,2992,1.10%,4.55%,10.16%,2.34%,81.85%
4,9,55,167,33,532,796,1.13%,6.91%,20.98%,4.15%,66.83%
5,72,496,1002,77,2506,4153,1.73%,11.94%,24.13%,1.85%,60.34%
6,8,81,270,63,1144,1566,0.51%,5.17%,17.24%,4.02%,73.05%
7,72,682,1254,88,2144,4240,1.70%,16.08%,29.58%,2.08%,50.57%
8,20,93,272,77,2812,3274,0.61%,2.84%,8.31%,2.35%,85.89%
9,18,77,348,87,3521,4051,0.44%,1.90%,8.59%,2.15%,86.92%
10,88,757,1022,189,3496,5552,1.59%,13.63%,18.41%,3.40%,62.97%
11,3,267,76,23,520,889,0.34%,30.03%,8.55%,2.59%,58.49%
12,30,112,1255,68,1342,2807,1.07%,3.99%,44.71%,2.42%,47.81%
13,3,60,69,38,818,988,0.30%,6.07%,6.98%,3.85%,82.79%
14,19,924,1537,37,2349,4866,0.39%,18.99%,31.59%,0.76%,48.27%
15,1,50,79,13,526,669,0.15%,7.47%,11.81%,1.94%,78.62%
16,0,9,46,20,438,513,0.00%,1.75%,8.97%,3.90%,85.38%
17,1,12,58,34,729,834,0.12%,1.44%,6.95%,4.08%,87.41%
18,20,1036,440,49,580,2125,0.94%,48.75%,20.71%,2.31%,27.29%
19,23,493,764,64,1502,2846,0.81%,17.32%,26.84%,2.25%,52.78%
20,12,967,264,0,290,1524,0.79%,63.45%,17.32%,0.00%,19.03%
21,14,135,908,178,3796,5031,0.28%,2.68%,18.05%,3.54%,75.45%
22,99,573,4441,152,3401,8666,1.14%,6.61%,51.25%,1.75%,39.25%
23,52,165,10960,84,2052,13313,0.39%,1.24%,82.33%,0.63%,15.41%
24,4,50,418,54,1228,1754,0.23%,2.85%,23.83%,3.08%,70.01%
25,6,20,192,36,1250,1504,0.40%,1.33%,12.77%,2.39%,83.11%
26,51,164,2894,157,3202,6468,0.79%,2.54%,44.74%,2.43%,49.51%
27,3,37,286,2,371,699,0.43%,5.29%,40.92%,0.29%,53.08%
28,3,25,162,54,1158,1402,0.21%,1.78%,11.55%,3.85%,82.60%
29,11,63,465,53,1628,2220,0.50%,2.84%,20.95%,2.39%,73.33%
30,37,397,509,100,1829,2872,1.29%,13.82%,17.72%,3.48%,63.68%
