precinct,party,candidate,votes
101,,Over Votes,0
101,,Under Votes,17
101,DEM,Rochelle Mercedes Garza,188
101,LIB,Mark Ash,27
101,REP,Ken Paxton,684
102,,Over Votes,0
102,,Under Votes,2
102,DEM,Rochelle Mercedes Garza,22
102,LIB,Mark Ash,7
102,REP,Ken Paxton,340
103,,Over Votes,0
103,,Under Votes,0
103,DEM,Rochelle Mercedes Garza,48
103,LIB,Mark Ash,16
103,REP,Ken Paxton,346
104,,Over Votes,0
104,,Under Votes,2
104,DEM,Rochelle Mercedes Garza,51
104,LIB,Mark Ash,13
104,REP,Ken Paxton,434
201,,Over Votes,0
201,,Under Votes,6
201,DEM,Rochelle Mercedes Garza,70
201,LIB,Mark Ash,5
201,REP,Ken Paxton,161
202,,Over Votes,0
202,,Under Votes,2
202,DEM,Rochelle Mercedes Garza,179
202,LIB,Mark Ash,4
202,REP,Ken Paxton,95
203,,Over Votes,0
203,,Under Votes,1
203,DEM,Rochelle Mercedes Garza,29
203,LIB,Mark Ash,1
203,REP,Ken Paxton,32
204,,Over Votes,0
204,,Under Votes,4
204,DEM,Rochelle Mercedes Garza,48
204,LIB,Mark Ash,9
204,REP,Ken Paxton,240
205,,Over Votes,0
205,,Under Votes,6
205,DEM,Rochelle Mercedes Garza,71
205,LIB,Mark Ash,6
205,REP,Ken Paxton,175
206,,Over Votes,0
206,,Under Votes,2
206,DEM,Rochelle Mercedes Garza,29
206,LIB,Mark Ash,6
206,REP,Ken Paxton,208
301,,Over Votes,0
301,,Under Votes,9
301,DEM,Rochelle Mercedes Garza,123
301,LIB,Mark Ash,16
301,REP,Ken Paxton,516
302,,Over Votes,0
302,,Under Votes,0
302,DEM,Rochelle Mercedes Garza,71
302,LIB,Mark Ash,9
302,REP,Ken Paxton,205
303,,Over Votes,0
303,,Under Votes,0
303,DEM,Rochelle Mercedes Garza,14
303,LIB,Mark Ash,3
303,REP,Ken Paxton,101
304,,Over Votes,0
304,,Under Votes,1
304,DEM,Rochelle Mercedes Garza,50
304,LIB,Mark Ash,7
304,REP,Ken Paxton,331
305,,Over Votes,0
305,,Under Votes,0
305,DEM,Rochelle Mercedes Garza,51
305,LIB,Mark Ash,6
305,REP,Ken Paxton,166
401,,Over Votes,0
401,,Under Votes,9
401,DEM,Rochelle Mercedes Garza,207
401,LIB,Mark Ash,15
401,REP,Ken Paxton,316
402,,Over Votes,0
402,,Under Votes,0
402,DEM,Rochelle Mercedes Garza,26
402,LIB,Mark Ash,1
402,REP,Ken Paxton,254
403,,Over Votes,0
403,,Under Votes,2
403,DEM,Rochelle Mercedes Garza,23
403,LIB,Mark Ash,5
403,REP,Ken Paxton,160
404,,Over Votes,0
404,,Under Votes,1
404,DEM,Rochelle Mercedes Garza,29
404,LIB,Mark Ash,9
404,REP,Ken Paxton,221
405,,Over Votes,0
405,,Under Votes,1
405,DEM,Rochelle Mercedes Garza,20
405,LIB,Mark Ash,6
405,REP,Ken Paxton,178
406,,Over Votes,0
406,,Under Votes,2
406,DEM,Rochelle Mercedes Garza,16
406,LIB,Mark Ash,5
406,REP,Ken Paxton,98
