precinct,party,candidate,votes
101,,Over Votes,0
101,,Under Votes,21
101,DEM,Erin A. Nowell,186
101,LIB,Thomas Edward Oxford,10
101,REP,Debra Lehrmann,699
102,,Over Votes,0
102,,Under Votes,3
102,DEM,Erin A. Nowell,22
102,LIB,Thomas Edward Oxford,4
102,REP,Debra Lehrmann,342
103,,Over Votes,0
103,,Under Votes,6
103,DEM,Erin A. Nowell,51
103,LIB,Thomas Edward Oxford,12
103,REP,Debra Lehrmann,341
104,,Over Votes,0
104,,Under Votes,3
104,DEM,Erin A. Nowell,46
104,LIB,Thomas Edward Oxford,11
104,REP,Debra Lehrmann,440
201,,Over Votes,0
201,,Under Votes,7
201,DEM,Erin A. Nowell,71
201,LIB,Thomas Edward Oxford,3
201,REP,Debra Lehrmann,161
202,,Over Votes,0
202,,Under Votes,4
202,DEM,Erin A. Nowell,173
202,LIB,Thomas Edward Oxford,4
202,REP,Debra Lehrmann,99
203,,Over Votes,0
203,,Under Votes,0
203,DEM,Erin A. Nowell,32
203,LIB,Thomas Edward Oxford,0
203,REP,Debra Lehrmann,31
204,,Over Votes,0
204,,Under Votes,1
204,DEM,Erin A. Nowell,50
204,LIB,Thomas Edward Oxford,6
204,REP,Debra Lehrmann,244
205,,Over Votes,0
205,,Under Votes,7
205,DEM,Erin A. Nowell,73
205,LIB,Thomas Edward Oxford,7
205,REP,Debra Lehrmann,171
206,,Over Votes,0
206,,Under Votes,6
206,DEM,Erin A. Nowell,27
206,LIB,Thomas Edward Oxford,4
206,REP,Debra Lehrmann,208
301,,Over Votes,0
301,,Under Votes,9
301,DEM,Erin A. Nowell,123
301,LIB,Thomas Edward Oxford,11
301,REP,Debra Lehrmann,521
302,,Over Votes,0
302,,Under Votes,8
302,DEM,Erin A. Nowell,66
302,LIB,Thomas Edward Oxford,7
302,REP,Debra Lehrmann,204
303,,Over Votes,0
303,,Under Votes,0
303,DEM,Erin A. Nowell,13
303,LIB,Thomas Edward Oxford,0
303,REP,Debra Lehrmann,105
304,,Over Votes,0
304,,Under Votes,5
304,DEM,Erin A. Nowell,56
304,LIB,Thomas Edward Oxford,5
304,REP,Debra Lehrmann,323
305,,Over Votes,0
305,,Under Votes,0
305,DEM,Erin A. Nowell,51
305,LIB,Thomas Edward Oxford,1
305,REP,Debra Lehrmann,171
401,,Over Votes,0
401,,Under Votes,10
401,DEM,Erin A. Nowell,209
401,LIB,Thomas Edward Oxford,8
401,REP,Debra Lehrmann,320
402,,Over Votes,0
402,,Under Votes,1
402,DEM,Erin A. Nowell,24
402,LIB,Thomas Edward Oxford,2
402,REP,Debra Lehrmann,254
403,,Over Votes,0
403,,Under Votes,4
403,DEM,Erin A. Nowell,23
403,LIB,Thomas Edward Oxford,2
403,REP,Debra Lehrmann,161
404,,Over Votes,0
404,,Under Votes,4
404,DEM,Erin A. Nowell,24
404,LIB,Thomas Edward Oxford,4
404,REP,Debra Lehrmann,228
405,,Over Votes,0
405,,Under Votes,1
405,DEM,Erin A. Nowell,20
405,LIB,Thomas Edward Oxford,3
405,REP,Debra Lehrmann,181
406,,Over Votes,0
406,,Under Votes,2
406,DEM,Erin A. Nowell,15
406,LIB,Thomas Edward Oxford,3
406,REP,Debra Lehrmann,101
