precinct,party,candidate,votes
1,DEM,Chrysta Castaneda,60
1,GRN,"Katija ""Kat"" Gruene",1
1,LIB,Matt Sterett,3
1,REP,"James ""Jim"" Wright",282
10,DEM,Chrysta Castaneda,40
10,GRN,"Katija ""Kat"" Gruene",3
10,LIB,Matt Sterett,1
10,REP,"James ""Jim"" Wright",286
11,DEM,Chrysta Castaneda,3
11,GRN,"Katija ""Kat"" Gruene",1
11,LIB,Matt Sterett,0
11,REP,"James ""Jim"" Wright",61
12,DEM,Chrysta Castaneda,16
12,GRN,"Katija ""Kat"" Gruene",1
12,LIB,Matt Sterett,0
12,REP,"James ""Jim"" Wright",107
13,DEM,Chrysta Castaneda,48
13,GRN,"Katija ""Kat"" Gruene",0
13,LIB,Matt Sterett,7
13,REP,"James ""Jim"" Wright",327
14,DEM,Chrysta Castaneda,91
14,GRN,"Katija ""Kat"" Gruene",1
14,LIB,Matt Sterett,8
14,REP,"James ""Jim"" Wright",606
2,DEM,Chrysta Castaneda,117
2,GRN,"Katija ""Kat"" Gruene",1
2,LIB,Matt Sterett,11
2,REP,"James ""Jim"" Wright",598
3,DEM,Chrysta Castaneda,142
3,GRN,"Katija ""Kat"" Gruene",7
3,LIB,Matt Sterett,0
3,REP,"James ""Jim"" Wright",320
4,DEM,Chrysta Castaneda,93
4,GRN,"Katija ""Kat"" Gruene",1
4,LIB,Matt Sterett,8
4,REP,"James ""Jim"" Wright",562
5,DEM,Chrysta Castaneda,28
5,GRN,"Katija ""Kat"" Gruene",1
5,LIB,Matt Sterett,1
5,REP,"James ""Jim"" Wright",218
6,DEM,Chrysta Castaneda,15
6,GRN,"Katija ""Kat"" Gruene",0
6,LIB,Matt Sterett,3
6,REP,"James ""Jim"" Wright",143
7,DEM,Chrysta Castaneda,6
7,GRN,"Katija ""Kat"" Gruene",0
7,LIB,Matt Sterett,1
7,REP,"James ""Jim"" Wright",14
8,DEM,Chrysta Castaneda,6
8,GRN,"Katija ""Kat"" Gruene",0
8,LIB,Matt Sterett,0
8,REP,"James ""Jim"" Wright",101
9,DEM,Chrysta Castaneda,145
9,GRN,"Katija ""Kat"" Gruene",3
9,LIB,Matt Sterett,11
9,REP,"James ""Jim"" Wright",439
