precinct,party,candidate,votes
101,,JAQUELINE ABERNATHY,0
101,,MARK V GOLOBY,0
101,,Rejected write-ins,1
101,,Unassigned write-ins,0
101,DEM,BETO O'ROURKE,34
101,GRN,DELILAH BARRIOS,0
101,LIB,MARK TIPPETTS,3
101,REP,GREG ABBOTT,186
102,,JAQUELINE ABERNATHY,0
102,,MARK V GOLOBY,0
102,,Rejected write-ins,0
102,,Unassigned write-ins,0
102,DEM,BETO O'ROURKE,117
102,GRN,DELILAH BARRIOS,1
102,LIB,MARK TIPPETTS,4
102,REP,GREG ABBOTT,345
108,,JAQUELINE ABERNATHY,0
108,,MARK V GOLOBY,0
108,,Rejected write-ins,1
108,,Unassigned write-ins,0
108,DEM,BETO O'ROURKE,160
108,GRN,DELILAH BARRIOS,0
108,LIB,MARK TIPPETTS,13
108,REP,GREG ABBOTT,595
109,,JAQUELINE ABERNATHY,0
109,,MARK V GOLOBY,0
109,,Rejected write-ins,0
109,,Unassigned write-ins,0
109,DEM,BETO O'ROURKE,470
109,GRN,DELILAH BARRIOS,2
109,LIB,MARK TIPPETTS,22
109,REP,GREG ABBOTT,2293
203,,JAQUELINE ABERNATHY,0
203,,MARK V GOLOBY,2
203,,Rejected write-ins,1
203,,Unassigned write-ins,0
203,DEM,BETO O'ROURKE,237
203,GRN,DELILAH BARRIOS,1
203,LIB,MARK TIPPETTS,23
203,REP,GREG ABBOTT,1278
204,,JAQUELINE ABERNATHY,0
204,,MARK V GOLOBY,0
204,,Rejected write-ins,0
204,,Unassigned write-ins,0
204,DEM,BETO O'ROURKE,97
204,GRN,DELILAH BARRIOS,2
204,LIB,MARK TIPPETTS,3
204,REP,GREG ABBOTT,483
205,,JAQUELINE ABERNATHY,0
205,,MARK V GOLOBY,1
205,,Rejected write-ins,0
205,,Unassigned write-ins,0
205,DEM,BETO O'ROURKE,60
205,GRN,DELILAH BARRIOS,0
205,LIB,MARK TIPPETTS,7
205,REP,GREG ABBOTT,397
307,,JAQUELINE ABERNATHY,0
307,,MARK V GOLOBY,0
307,,Rejected write-ins,2
307,,Unassigned write-ins,0
307,DEM,BETO O'ROURKE,300
307,GRN,DELILAH BARRIOS,5
307,LIB,MARK TIPPETTS,9
307,REP,GREG ABBOTT,1325
410,,JAQUELINE ABERNATHY,1
410,,MARK V GOLOBY,1
410,,Rejected write-ins,3
410,,Unassigned write-ins,0
410,DEM,BETO O'ROURKE,445
410,GRN,DELILAH BARRIOS,5
410,LIB,MARK TIPPETTS,27
410,REP,GREG ABBOTT,2075
