precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
1,256,777,3762,0,1934,6681,3.83%,11.63%,56.31%,0.00%,28.95%
2,41,247,2051,5,971,3315,1.24%,7.45%,61.87%,0.15%,29.29%
3,645,462,3441,14,841,5403,11.94%,8.55%,63.69%,0.26%,15.57%
4,20,207,1860,0,191,2259,0.89%,9.16%,82.34%,0.00%,8.46%
5,8,292,1172,12,448,1932,0.41%,15.11%,60.66%,0.62%,23.19%
6,10,1699,988,0,135,2767,0.36%,61.40%,35.71%,0.00%,4.88%
7,130,312,1276,59,2754,4531,2.87%,6.89%,28.16%,1.30%,60.78%
8,460,498,1035,92,2494,4579,10.05%,10.88%,22.60%,2.01%,54.47%
9,164,122,613,59,2474,3432,4.78%,3.55%,17.86%,1.72%,72.09%
10,144,320,780,59,937,2240,6.43%,14.29%,34.82%,2.63%,41.83%
11,6,123,218,0,47,378,1.59%,32.54%,57.67%,0.00%,12.43%
12,48,140,642,27,1861,2718,1.77%,5.15%,23.62%,0.99%,68.47%
13,28,201,550,0,731,1500,1.87%,13.40%,36.67%,0.00%,48.73%
14,55,188,1078,55,1433,2809,1.96%,6.69%,38.38%,1.96%,51.01%
15,213,125,740,112,3017,4207,5.06%,2.97%,17.59%,2.66%,71.71%
17,73,730,3533,57,2155,6548,1.11%,11.15%,53.96%,0.87%,32.91%
19,18,370,2480,0,445,3296,0.55%,11.23%,75.24%,0.00%,13.50%
20,17,1649,557,0,109,2272,0.75%,72.58%,24.52%,0.00%,4.80%
21,60,377,1970,32,1673,4112,1.46%,9.17%,47.91%,0.78%,40.69%
22,78,399,1689,74,2358,4598,1.70%,8.68%,36.73%,1.61%,51.28%
23,35,185,608,2,1291,2121,1.65%,8.72%,28.67%,0.09%,60.87%
24,81,507,1774,32,1602,3996,2.03%,12.69%,44.39%,0.80%,40.09%
25,20,325,1385,28,468,2226,0.90%,14.60%,62.22%,1.26%,21.02%
26,36,704,4300,0,750,5749,0.63%,12.25%,74.80%,0.00%,13.05%
27,294,1086,3123,4,2719,7226,4.07%,15.03%,43.22%,0.06%,37.63%
28,189,189,713,59,1856,3006,6.29%,6.29%,23.72%,1.96%,61.74%
29,73,1214,4453,0,1353,7048,1.04%,17.22%,63.18%,0.00%,19.20%
30,118,431,1717,64,1919,4249,2.78%,10.14%,40.41%,1.51%,45.16%
31,36,42,706,60,1653,2497,1.44%,1.68%,28.27%,2.40%,66.20%
32,29,70,601,13,1125,1838,1.58%,3.81%,32.70%,0.71%,61.21%
33,40,52,1537,118,3160,4907,0.82%,1.06%,31.32%,2.40%,64.40%
34,6,275,777,5,879,1942,0.31%,14.16%,40.01%,0.26%,45.26%
35,7,25,281,28,842,1183,0.59%,2.11%,23.75%,2.37%,71.17%
36,7,156,1453,66,1916,3598,0.19%,4.34%,40.38%,1.83%,53.25%
37,39,145,325,28,944,1481,2.63%,9.79%,21.94%,1.89%,63.74%
38,13,302,1882,0,789,2977,0.44%,10.14%,63.22%,0.00%,26.50%
39,14,38,585,76,1699,2412,0.58%,1.58%,24.25%,3.15%,70.44%
40,16,1046,873,0,128,2043,0.78%,51.20%,42.73%,0.00%,6.27%
41,21,52,1282,48,2128,3531,0.59%,1.47%,36.31%,1.36%,60.27%
43,12,22,357,4,699,1094,1.10%,2.01%,32.63%,0.37%,63.89%
44,10,48,676,44,1284,2062,0.48%,2.33%,32.78%,2.13%,62.27%
45,3,21,346,0,362,730,0.41%,2.88%,47.40%,0.00%,49.59%
46,30,50,1263,143,3127,4613,0.65%,1.08%,27.38%,3.10%,67.79%
47,184,427,1628,60,2356,4655,3.95%,9.17%,34.97%,1.29%,50.61%
49,96,195,16,15,59,381,25.20%,51.18%,4.20%,3.94%,15.49%
50,1799,3576,139,294,629,6437,27.95%,55.55%,2.16%,4.57%,9.77%
51,3,11,178,6,152,350,0.86%,3.14%,50.86%,1.71%,43.43%
52,189,239,1301,79,3009,4817,3.92%,4.96%,27.01%,1.64%,62.47%
53,268,603,2911,43,2772,6597,4.06%,9.14%,44.13%,0.65%,42.02%
54,64,118,559,67,3020,3828,1.67%,3.08%,14.60%,1.75%,78.89%
56,14,59,669,26,1017,1785,0.78%,3.31%,37.48%,1.46%,56.97%
57,132,268,1362,59,1958,3779,3.49%,7.09%,36.04%,1.56%,51.81%
58,198,101,504,29,1357,2189,9.05%,4.61%,23.02%,1.32%,61.99%
59,173,648,2192,68,2519,5600,3.09%,11.57%,39.14%,1.21%,44.98%
60,26,37,288,25,1164,1540,1.69%,2.40%,18.70%,1.62%,75.58%
62,171,196,912,60,2284,3623,4.72%,5.41%,25.17%,1.66%,63.04%
63,1,17,200,3,203,424,0.24%,4.01%,47.17%,0.71%,47.88%
65,14,79,1050,27,993,2163,0.65%,3.65%,48.54%,1.25%,45.91%
66,171,126,429,74,2402,3202,5.34%,3.94%,13.40%,2.31%,75.02%
67,78,275,1532,76,1841,3802,2.05%,7.23%,40.29%,2.00%,48.42%
72,196,499,1975,72,2491,5233,3.75%,9.54%,37.74%,1.38%,47.60%
75,40,43,235,21,1142,1481,2.70%,2.90%,15.87%,1.42%,77.11%
76,114,195,1231,53,1799,3392,3.36%,5.75%,36.29%,1.56%,53.04%
