precinct,party,candidate,votes
1,DEM,Tina Clinton,37
1,REP,Kevin Patrick Yeary,156
10,DEM,Tina Clinton,1
10,REP,Kevin Patrick Yeary,4
11,DEM,Tina Clinton,6
11,REP,Kevin Patrick Yeary,66
12,DEM,Tina Clinton,31
12,REP,Kevin Patrick Yeary,75
13,DEM,Tina Clinton,9
13,REP,Kevin Patrick Yeary,79
14,DEM,Tina Clinton,68
14,REP,Kevin Patrick Yeary,72
2,DEM,Tina Clinton,44
2,REP,Kevin Patrick Yeary,189
3,DEM,Tina Clinton,67
3,REP,Kevin Patrick Yeary,235
4,DEM,Tina Clinton,45
4,REP,Kevin Patrick Yeary,478
5,DEM,Tina Clinton,4
5,REP,Kevin Patrick Yeary,16
6,DEM,Tina Clinton,50
6,REP,Kevin Patrick Yeary,176
7,DEM,Tina Clinton,0
7,REP,Kevin Patrick Yeary,34
8,DEM,Tina Clinton,6
8,REP,Kevin Patrick Yeary,26
9,DEM,Tina Clinton,31
9,REP,Kevin Patrick Yeary,219
