precinct,party,candidate,votes
1,DEM,Brandon Birmingham,121
1,REP,David Newell,294
10,DEM,Brandon Birmingham,88
10,REP,David Newell,188
2,DEM,Brandon Birmingham,140
2,REP,David Newell,646
3,DEM,Brandon Birmingham,83
3,REP,David Newell,330
4,DEM,Brandon Birmingham,117
4,REP,David Newell,236
5,DEM,Brandon Birmingham,115
5,REP,David Newell,414
6,DEM,Brandon Birmingham,178
6,REP,David Newell,398
7,DEM,Brandon Birmingham,241
7,REP,David Newell,232
8,DEM,Brandon Birmingham,138
8,REP,David Newell,483
9,DEM,Brandon Birmingham,61
9,REP,David Newell,210
