Precinct,Rep,Mod,Dem,Total,Rep Share,Mod Share,Dem Share,Winning Party,Party Strength
1A,106,5,214,325,0.3261538462,0.0153846154,0.6584615385,Dem,3
1B,476,10,732,1218,0.3908045977,0.0082101806,0.6009852217,Dem,2
1C,814,31,1304,2149,0.3787808283,0.0144253141,0.6067938576,Dem,2
2A,107,7,214,328,0.3262195122,0.0213414634,0.6524390244,Dem,3
2B,572,23,856,1451,0.3942108890,0.0158511371,0.5899379738,Dem,2
2C,405,20,567,992,0.4082661290,0.0201612903,0.5715725806,Dem,2
2D,44,0,29,73,0.6027397260,0.0000000000,0.3972602740,Rep,2
3A,652,22,962,1636,0.3985330073,0.0134474328,0.5880195599,Dem,2
3B,783,30,1117,1930,0.4056994819,0.0155440415,0.5787564767,Dem,2
3C,194,4,120,318,0.6100628931,0.0125786164,0.3773584906,Rep,2
4A,142,6,247,395,0.3594936709,0.0151898734,0.6253164557,Dem,2
4B,666,19,992,1677,0.3971377460,0.0113297555,0.5915324985,Dem,2
4C,191,8,338,537,0.3556797020,0.0148975791,0.6294227188,Dem,2
4D,371,16,586,973,0.3812949640,0.0164439877,0.6022610483,Dem,2
