precinct,party,candidate,votes
1A,DEM,Staci Williams,217
1A,REP,Jeff Boyd,95
1B,DEM,Staci Williams,727
1B,REP,Jeff Boyd,451
1C,DEM,Staci Williams,1293
1C,REP,Jeff Boyd,777
2A,DEM,Staci Williams,201
2A,REP,Jeff Boyd,99
2B,DEM,Staci Williams,846
2B,REP,Jeff Boyd,531
2C,DEM,Staci Williams,564
2C,REP,Jeff Boyd,372
2D,DEM,Staci Williams,30
2D,REP,Jeff Boyd,41
3A,DEM,Staci Williams,962
3A,REP,Jeff Boyd,620
3B,DEM,Staci Williams,1098
3B,REP,Jeff Boyd,756
3C,DEM,Staci Williams,116
3C,REP,Jeff Boyd,192
4A,DEM,Staci Williams,241
4A,REP,Jeff Boyd,139
4B,DEM,Staci Williams,991
4B,REP,Jeff Boyd,652
4C,DEM,Staci Williams,331
4C,REP,Jeff Boyd,175
4D,DEM,Staci Williams,585
4D,REP,Jeff Boyd,339
