precinct,party,candidate,votes
101,,Over Votes,0
101,,Under Votes,35
101,DEM,Brandon Birmingham,117
101,REP,David Newell,811
102,,Over Votes,0
102,,Under Votes,2
102,DEM,Brandon Birmingham,12
102,REP,David Newell,109
201,,Over Votes,0
201,,Under Votes,19
201,DEM,Brandon Birmingham,121
201,REP,David Newell,321
202,,Over Votes,0
202,,Under Votes,4
202,DEM,Brandon Birmingham,14
202,REP,David Newell,103
301,,Over Votes,0
301,,Under Votes,31
301,DEM,Brandon Birmingham,101
301,REP,David Newell,639
302,,Over Votes,0
302,,Under Votes,1
302,DEM,Brandon Birmingham,15
302,REP,David Newell,178
401,,Over Votes,0
401,,Under Votes,21
401,DEM,Brandon Birmingham,55
401,REP,David Newell,361
402,,Over Votes,0
402,,Under Votes,14
402,DEM,Brandon Birmingham,21
402,REP,David Newell,232
403,,Over Votes,0
403,,Under Votes,2
403,DEM,Brandon Birmingham,11
403,REP,David Newell,102
