precinct,party,candidate,votes
2,DEM,Lucyann Sanchez-Miramontez,76
2,REP,Jessica R. Dominguez,45
25,DEM,Lucyann Sanchez-Miramontez,304
25,REP,Jessica R. Dominguez,234
26,DEM,Lucyann Sanchez-Miramontez,125
26,REP,Jessica R. Dominguez,110
28,DEM,Lucyann Sanchez-Miramontez,240
28,REP,Jessica R. Dominguez,310
35,DEM,Lucyann Sanchez-Miramontez,196
35,REP,Jessica R. Dominguez,122
4,DEM,Lucyann Sanchez-Miramontez,40
4,REP,Jessica R. Dominguez,37
49,DEM,Lucyann Sanchez-Miramontez,85
49,REP,Jessica R. Dominguez,107
5,DEM,Lucyann Sanchez-Miramontez,139
5,REP,Jessica R. Dominguez,63
56,DEM,Lucyann Sanchez-Miramontez,148
56,REP,Jessica R. Dominguez,143
57,DEM,Lucyann Sanchez-Miramontez,291
57,REP,Jessica R. Dominguez,327
6,DEM,Lucyann Sanchez-Miramontez,138
6,REP,Jessica R. Dominguez,62
7,DEM,Lucyann Sanchez-Miramontez,303
7,REP,Jessica R. Dominguez,206
8,DEM,Lucyann Sanchez-Miramontez,329
8,REP,Jessica R. Dominguez,184
9,DEM,Lucyann Sanchez-Miramontez,204
9,REP,Jessica R. Dominguez,105
