precinct,party,candidate,votes
1,DEM,Erin Shank,75
1,REP,"Charles ""Doc"" Anderson",45
11,DEM,Erin Shank,444
11,REP,"Charles ""Doc"" Anderson",939
16,DEM,Erin Shank,438
16,REP,"Charles ""Doc"" Anderson",693
19,DEM,Erin Shank,634
19,REP,"Charles ""Doc"" Anderson",1324
23,DEM,Erin Shank,614
23,REP,"Charles ""Doc"" Anderson",1579
25,DEM,Erin Shank,317
25,REP,"Charles ""Doc"" Anderson",219
26,DEM,Erin Shank,134
26,REP,"Charles ""Doc"" Anderson",102
28,DEM,Erin Shank,278
28,REP,"Charles ""Doc"" Anderson",278
29,DEM,Erin Shank,127
29,REP,"Charles ""Doc"" Anderson",135
3,DEM,Erin Shank,491
3,REP,"Charles ""Doc"" Anderson",301
30,DEM,Erin Shank,425
30,REP,"Charles ""Doc"" Anderson",431
31,DEM,Erin Shank,429
31,REP,"Charles ""Doc"" Anderson",537
32,DEM,Erin Shank,198
32,REP,"Charles ""Doc"" Anderson",401
33,DEM,Erin Shank,366
33,REP,"Charles ""Doc"" Anderson",563
34,DEM,Erin Shank,310
34,REP,"Charles ""Doc"" Anderson",477
35,DEM,Erin Shank,200
35,REP,"Charles ""Doc"" Anderson",125
36,DEM,Erin Shank,270
36,REP,"Charles ""Doc"" Anderson",400
37,DEM,Erin Shank,212
37,REP,"Charles ""Doc"" Anderson",195
38,DEM,Erin Shank,172
38,REP,"Charles ""Doc"" Anderson",117
39,DEM,Erin Shank,154
39,REP,"Charles ""Doc"" Anderson",63
4,DEM,Erin Shank,43
4,REP,"Charles ""Doc"" Anderson",35
40,DEM,Erin Shank,469
40,REP,"Charles ""Doc"" Anderson",652
41,DEM,Erin Shank,334
41,REP,"Charles ""Doc"" Anderson",451
42,DEM,Erin Shank,233
42,REP,"Charles ""Doc"" Anderson",173
44,DEM,Erin Shank,518
44,REP,"Charles ""Doc"" Anderson",1712
45,DEM,Erin Shank,97
45,REP,"Charles ""Doc"" Anderson",106
46,DEM,Erin Shank,54
46,REP,"Charles ""Doc"" Anderson",40
47,DEM,Erin Shank,139
47,REP,"Charles ""Doc"" Anderson",100
48,DEM,Erin Shank,66
48,REP,"Charles ""Doc"" Anderson",57
49,DEM,Erin Shank,96
49,REP,"Charles ""Doc"" Anderson",99
50,DEM,Erin Shank,240
50,REP,"Charles ""Doc"" Anderson",236
51,DEM,Erin Shank,790
51,REP,"Charles ""Doc"" Anderson",1593
52,DEM,Erin Shank,211
52,REP,"Charles ""Doc"" Anderson",350
53,DEM,Erin Shank,13
53,REP,"Charles ""Doc"" Anderson",19
54,DEM,Erin Shank,354
54,REP,"Charles ""Doc"" Anderson",890
55,DEM,Erin Shank,661
55,REP,"Charles ""Doc"" Anderson",1626
56,DEM,Erin Shank,152
56,REP,"Charles ""Doc"" Anderson",138
58,DEM,Erin Shank,448
58,REP,"Charles ""Doc"" Anderson",739
59,DEM,Erin Shank,491
59,REP,"Charles ""Doc"" Anderson",1620
60,DEM,Erin Shank,499
60,REP,"Charles ""Doc"" Anderson",1477
61,DEM,Erin Shank,554
61,REP,"Charles ""Doc"" Anderson",1270
62,DEM,Erin Shank,609
62,REP,"Charles ""Doc"" Anderson",1194
63,DEM,Erin Shank,749
63,REP,"Charles ""Doc"" Anderson",2317
64,DEM,Erin Shank,113
64,REP,"Charles ""Doc"" Anderson",386
65,DEM,Erin Shank,91
65,REP,"Charles ""Doc"" Anderson",616
66,DEM,Erin Shank,101
66,REP,"Charles ""Doc"" Anderson",713
67,DEM,Erin Shank,228
67,REP,"Charles ""Doc"" Anderson",1468
7,DEM,Erin Shank,314
7,REP,"Charles ""Doc"" Anderson",203
73,DEM,Erin Shank,81
73,REP,"Charles ""Doc"" Anderson",508
74,DEM,Erin Shank,74
74,REP,"Charles ""Doc"" Anderson",410
75,DEM,Erin Shank,323
75,REP,"Charles ""Doc"" Anderson",1684
76,DEM,Erin Shank,204
76,REP,"Charles ""Doc"" Anderson",1045
77,DEM,Erin Shank,126
77,REP,"Charles ""Doc"" Anderson",777
78,DEM,Erin Shank,465
78,REP,"Charles ""Doc"" Anderson",1653
79,DEM,Erin Shank,178
79,REP,"Charles ""Doc"" Anderson",469
8,DEM,Erin Shank,337
8,REP,"Charles ""Doc"" Anderson",184
80,DEM,Erin Shank,120
80,REP,"Charles ""Doc"" Anderson",1472
81,DEM,Erin Shank,438
81,REP,"Charles ""Doc"" Anderson",2170
82,DEM,Erin Shank,310
82,REP,"Charles ""Doc"" Anderson",1381
83,DEM,Erin Shank,56
83,REP,"Charles ""Doc"" Anderson",278
84,DEM,Erin Shank,302
84,REP,"Charles ""Doc"" Anderson",931
91,DEM,Erin Shank,337
91,REP,"Charles ""Doc"" Anderson",860
