Precinct,Rep,Mod,Dem,Total,Rep Share,Mod Share,Dem Share,Winning Party,Party Strength
1A,906,13,193,1112,0.8147482014,0.0116906475,0.1735611511,Rep,3
1B,1023,24,207,1254,0.8157894737,0.0191387560,0.1650717703,Rep,3
1C,1617,47,669,2333,0.6930990141,0.0201457351,0.2867552508,Rep,3
1D,1326,27,426,1779,0.7453625632,0.0151770658,0.2394603710,Rep,3
2A,1139,54,794,1987,0.5732259688,0.0271766482,0.3995973830,Rep,2
2B,1740,34,528,2302,0.7558644657,0.0147697654,0.2293657689,Rep,3
2C,2025,51,720,2796,0.7242489270,0.0182403433,0.2575107296,Rep,3
3A,548,8,198,754,0.7267904509,0.0106100796,0.2625994695,Rep,3
3B,326,7,86,419,0.7780429594,0.0167064439,0.2052505967,Rep,3
3C,1109,36,545,1690,0.6562130178,0.0213017751,0.3224852071,Rep,3
3D,510,26,648,1184,0.4307432432,0.0219594595,0.5472972973,Dem,2
4A,885,19,270,1174,0.7538330494,0.0161839864,0.2299829642,Rep,3
4B,1703,45,718,2466,0.6905920519,0.0182481752,0.2911597729,Rep,3
4C,586,22,422,1030,0.5689320388,0.0213592233,0.4097087379,Rep,2
