precinct,party,candidate,votes
10,,Over Votes,0
10,,Under Votes,18
10,DEM,Delonia A. Watson,59
10,REP,Elizabeth Kerr,468
11,,Over Votes,0
11,,Under Votes,21
11,DEM,Delonia A. Watson,40
11,REP,Elizabeth Kerr,426
12,,Over Votes,0
12,,Under Votes,3
12,DEM,Delonia A. Watson,3
12,REP,Elizabeth Kerr,73
13,,Over Votes,0
13,,Under Votes,35
13,DEM,Delonia A. Watson,40
13,REP,Elizabeth Kerr,568
14,,Over Votes,0
14,,Under Votes,7
14,DEM,Delonia A. Watson,7
14,REP,Elizabeth Kerr,132
15,,Over Votes,0
15,,Under Votes,14
15,DEM,Delonia A. Watson,33
15,REP,Elizabeth Kerr,295
16,,Over Votes,0
16,,Under Votes,5
16,DEM,Delonia A. Watson,16
16,REP,Elizabeth Kerr,147
2,,Over Votes,0
2,,Under Votes,28
2,DEM,Delonia A. Watson,138
2,REP,Elizabeth Kerr,1321
3,,Over Votes,0
3,,Under Votes,18
3,DEM,Delonia A. Watson,55
3,REP,Elizabeth Kerr,672
4,,Over Votes,0
4,,Under Votes,5
4,DEM,Delonia A. Watson,22
4,REP,Elizabeth Kerr,245
5,,Over Votes,0
5,,Under Votes,14
5,DEM,Delonia A. Watson,60
5,REP,Elizabeth Kerr,468
6,,Over Votes,0
6,,Under Votes,15
6,DEM,Delonia A. Watson,54
6,REP,Elizabeth Kerr,414
7,,Over Votes,0
7,,Under Votes,13
7,DEM,Delonia A. Watson,71
7,REP,Elizabeth Kerr,607
8,,Over Votes,0
8,,Under Votes,10
8,DEM,Delonia A. Watson,54
8,REP,Elizabeth Kerr,448
9,,Over Votes,0
9,,Under Votes,12
9,DEM,Delonia A. Watson,83
9,REP,Elizabeth Kerr,644
