precinct,party,candidate,votes
101,GRN,Hawkins,0
101,LIB,Jorgensen,15
101,,Write-in,3
101,DEM,Biden,468
101,REP,Trump,760
103,GRN,Hawkins,6
103,LIB,Jorgensen,17
103,,Write-in,4
103,DEM,Biden,302
103,REP,Trump,973
104,GRN,Hawkins,1
104,LIB,Jorgensen,8
104,,Write-in,0
104,DEM,Biden,97
104,REP,Trump,388
105,GRN,Hawkins,0
105,LIB,Jorgensen,0
105,,Write-in,0
105,DEM,Biden,22
105,REP,Trump,179
106,GRN,Hawkins,0
106,LIB,Jorgensen,3
106,,Write-in,0
106,DEM,Biden,76
106,REP,Trump,269
107,GRN,Hawkins,2
107,LIB,Jorgensen,14
107,,Write-in,1
107,DEM,Biden,222
107,REP,Trump,513
108,GRN,Hawkins,1
108,LIB,Jorgensen,2
108,,Write-in,1
108,DEM,Biden,71
108,REP,Trump,259
109,GRN,Hawkins,2
109,LIB,Jorgensen,1
109,,Write-in,0
109,DEM,Biden,46
109,REP,Trump,233
200,GRN,Hawkins,2
200,LIB,Jorgensen,2
200,,Write-in,1
200,DEM,Biden,307
200,REP,Trump,146
201,GRN,Hawkins,1
201,LIB,Jorgensen,2
201,,Write-in,1
201,DEM,Biden,355
201,REP,Trump,41
202,GRN,Hawkins,2
202,LIB,Jorgensen,6
202,,Write-in,0
202,DEM,Biden,287
202,REP,Trump,124
203,GRN,Hawkins,2
203,LIB,Jorgensen,7
203,,Write-in,1
203,DEM,Biden,405
203,REP,Trump,1047
204,GRN,Hawkins,0
204,LIB,Jorgensen,1
204,,Write-in,0
204,DEM,Biden,64
204,REP,Trump,159
205,GRN,Hawkins,1
205,LIB,Jorgensen,13
205,,Write-in,2
205,DEM,Biden,193
205,REP,Trump,884
206,GRN,Hawkins,2
206,LIB,Jorgensen,5
206,,Write-in,1
206,DEM,Biden,64
206,REP,Trump,380
300,GRN,Hawkins,8
300,LIB,Jorgensen,6
300,,Write-in,4
300,DEM,Biden,541
300,REP,Trump,784
301,GRN,Hawkins,0
301,LIB,Jorgensen,1
301,,Write-in,0
301,DEM,Biden,81
301,REP,Trump,134
303,GRN,Hawkins,3
303,LIB,Jorgensen,6
303,,Write-in,0
303,DEM,Biden,162
303,REP,Trump,650
304,GRN,Hawkins,2
304,LIB,Jorgensen,4
304,,Write-in,2
304,DEM,Biden,66
304,REP,Trump,466
305,GRN,Hawkins,4
305,LIB,Jorgensen,0
305,,Write-in,0
305,DEM,Biden,72
305,REP,Trump,288
306,GRN,Hawkins,0
306,LIB,Jorgensen,1
306,,Write-in,1
306,DEM,Biden,31
306,REP,Trump,185
307,GRN,Hawkins,1
307,LIB,Jorgensen,0
307,,Write-in,0
307,DEM,Biden,56
307,REP,Trump,273
308,GRN,Hawkins,1
308,LIB,Jorgensen,1
308,,Write-in,1
308,DEM,Biden,46
308,REP,Trump,252
400,GRN,Hawkins,4
400,LIB,Jorgensen,18
400,,Write-in,1
400,DEM,Biden,290
400,REP,Trump,865
401,GRN,Hawkins,2
401,LIB,Jorgensen,3
401,,Write-in,1
401,DEM,Biden,128
401,REP,Trump,182
402,GRN,Hawkins,3
402,LIB,Jorgensen,12
402,,Write-in,1
402,DEM,Biden,282
402,REP,Trump,1061
403,GRN,Hawkins,0
403,LIB,Jorgensen,3
403,,Write-in,3
403,DEM,Biden,126
403,REP,Trump,957
404,GRN,Hawkins,1
404,LIB,Jorgensen,10
404,,Write-in,1
404,DEM,Biden,160
404,REP,Trump,610
405,GRN,Hawkins,2
405,LIB,Jorgensen,4
405,,Write-in,0
405,DEM,Biden,60
405,REP,Trump,545
406,GRN,Hawkins,0
406,LIB,Jorgensen,2
406,,Write-in,0
406,DEM,Biden,21
406,REP,Trump,193
