precinct,party,candidate,votes
101,,Over Votes,0
101,,Under Votes,5
101,DEM,Luke Warford,8
101,GRN,Hunter Wayne Crow,2
101,LIB,Jaime Andres Diez,2
101,REP,Wayne Christian,79
103,,Over Votes,0
103,,Under Votes,1
103,DEM,Luke Warford,2
103,GRN,Hunter Wayne Crow,0
103,LIB,Jaime Andres Diez,1
103,REP,Wayne Christian,89
202,,Over Votes,0
202,,Under Votes,3
202,DEM,Luke Warford,9
202,GRN,Hunter Wayne Crow,1
202,LIB,Jaime Andres Diez,2
202,REP,Wayne Christian,84
203,,Over Votes,0
203,,Under Votes,1
203,DEM,Luke Warford,4
203,GRN,Hunter Wayne Crow,2
203,LIB,Jaime Andres Diez,0
203,REP,Wayne Christian,133
303,,Over Votes,0
303,,Under Votes,0
303,DEM,Luke Warford,15
303,GRN,Hunter Wayne Crow,1
303,LIB,Jaime Andres Diez,2
303,REP,Wayne Christian,144
403,,Over Votes,0
403,,Under Votes,0
403,DEM,Luke Warford,4
403,GRN,Hunter Wayne Crow,0
403,LIB,Jaime Andres Diez,2
403,REP,Wayne Christian,74
404,,Over Votes,0
404,,Under Votes,2
404,DEM,Luke Warford,3
404,GRN,Hunter Wayne Crow,0
404,LIB,Jaime Andres Diez,0
404,REP,Wayne Christian,97
