precinct,party,candidate,votes
1,DEM,Tina Clinton,69
1,REP,Kevin Patrick Yeary,338
11,DEM,Tina Clinton,29
11,REP,Kevin Patrick Yeary,209
12,DEM,Tina Clinton,53
12,REP,Kevin Patrick Yeary,257
13,DEM,Tina Clinton,81
13,REP,Kevin Patrick Yeary,399
14,DEM,Tina Clinton,13
14,REP,Kevin Patrick Yeary,89
15,DEM,Tina Clinton,67
15,REP,Kevin Patrick Yeary,580
16,DEM,Tina Clinton,34
16,REP,Kevin Patrick Yeary,302
17,DEM,Tina Clinton,99
17,REP,Kevin Patrick Yeary,242
18,DEM,Tina Clinton,16
18,REP,Kevin Patrick Yeary,115
2,DEM,Tina Clinton,1
2,REP,Kevin Patrick Yeary,14
20,DEM,Tina Clinton,11
20,REP,Kevin Patrick Yeary,150
21,DEM,Tina Clinton,109
21,REP,Kevin Patrick Yeary,455
22,DEM,Tina Clinton,73
22,REP,Kevin Patrick Yeary,601
23,DEM,Tina Clinton,220
23,REP,Kevin Patrick Yeary,699
24,DEM,Tina Clinton,17
24,REP,Kevin Patrick Yeary,76
25,DEM,Tina Clinton,19
25,REP,Kevin Patrick Yeary,70
26,DEM,Tina Clinton,13
26,REP,Kevin Patrick Yeary,35
27,DEM,Tina Clinton,209
27,REP,Kevin Patrick Yeary,874
28,DEM,Tina Clinton,98
28,REP,Kevin Patrick Yeary,378
29,DEM,Tina Clinton,154
29,REP,Kevin Patrick Yeary,469
3,DEM,Tina Clinton,90
3,REP,Kevin Patrick Yeary,600
30,DEM,Tina Clinton,125
30,REP,Kevin Patrick Yeary,236
4,DEM,Tina Clinton,25
4,REP,Kevin Patrick Yeary,278
5,DEM,Tina Clinton,60
5,REP,Kevin Patrick Yeary,267
6,DEM,Tina Clinton,138
6,REP,Kevin Patrick Yeary,595
7,DEM,Tina Clinton,42
7,REP,Kevin Patrick Yeary,354
8,DEM,Tina Clinton,135
8,REP,Kevin Patrick Yeary,1130
9,DEM,Tina Clinton,38
9,REP,Kevin Patrick Yeary,268
