precinct,party,candidate,votes
1,DEM,Kathy Cheng,64
1,REP,Jane Bland,342
11,DEM,Kathy Cheng,28
11,REP,Jane Bland,210
12,DEM,Kathy Cheng,52
12,REP,Jane Bland,260
13,DEM,Kathy Cheng,80
13,REP,Jane Bland,405
14,DEM,Kathy Cheng,14
14,REP,Jane Bland,90
15,DEM,Kathy Cheng,71
15,REP,Jane Bland,571
16,DEM,Kathy Cheng,33
16,REP,Jane Bland,305
17,DEM,Kathy Cheng,95
17,REP,Jane Bland,251
18,DEM,Kathy Cheng,17
18,REP,Jane Bland,114
2,DEM,Kathy Cheng,1
2,REP,Jane Bland,14
20,DEM,Kathy Cheng,12
20,REP,Jane Bland,151
21,DEM,Kathy Cheng,108
21,REP,Jane Bland,455
22,DEM,Kathy Cheng,72
22,REP,Jane Bland,607
23,DEM,Kathy Cheng,214
23,REP,Jane Bland,708
24,DEM,Kathy Cheng,15
24,REP,Jane Bland,79
25,DEM,Kathy Cheng,18
25,REP,Jane Bland,73
26,DEM,Kathy Cheng,11
26,REP,Jane Bland,38
27,DEM,Kathy Cheng,215
27,REP,Jane Bland,877
28,DEM,Kathy Cheng,96
28,REP,Jane Bland,381
29,DEM,Kathy Cheng,153
29,REP,Jane Bland,462
3,DEM,Kathy Cheng,87
3,REP,Jane Bland,608
30,DEM,Kathy Cheng,127
30,REP,Jane Bland,240
4,DEM,Kathy Cheng,29
4,REP,Jane Bland,278
5,DEM,Kathy Cheng,59
5,REP,Jane Bland,270
6,DEM,Kathy Cheng,136
6,REP,Jane Bland,599
7,DEM,Kathy Cheng,38
7,REP,Jane Bland,359
8,DEM,Kathy Cheng,133
8,REP,Jane Bland,1137
9,DEM,Kathy Cheng,38
9,REP,Jane Bland,271
