precinct,party,candidate,votes
1,DEM,Elizabeth Davis Frizell,283
1,REP,Bert Richardson,1045
10,DEM,Elizabeth Davis Frizell,63
10,REP,Bert Richardson,171
12,DEM,Elizabeth Davis Frizell,13
12,REP,Bert Richardson,289
13,DEM,Elizabeth Davis Frizell,62
13,REP,Bert Richardson,165
14,DEM,Elizabeth Davis Frizell,27
14,REP,Bert Richardson,301
18,DEM,Elizabeth Davis Frizell,225
18,REP,Bert Richardson,1251
19,DEM,Elizabeth Davis Frizell,12
19,REP,Bert Richardson,238
2,DEM,Elizabeth Davis Frizell,287
2,REP,Bert Richardson,1215
20,DEM,Elizabeth Davis Frizell,4
20,REP,Bert Richardson,249
22,DEM,Elizabeth Davis Frizell,99
22,REP,Bert Richardson,137
26,DEM,Elizabeth Davis Frizell,34
26,REP,Bert Richardson,98
27,DEM,Elizabeth Davis Frizell,289
27,REP,Bert Richardson,385
28,DEM,Elizabeth Davis Frizell,223
28,REP,Bert Richardson,1254
29,DEM,Elizabeth Davis Frizell,9
29,REP,Bert Richardson,236
3,DEM,Elizabeth Davis Frizell,176
3,REP,Bert Richardson,778
5,DEM,Elizabeth Davis Frizell,29
5,REP,Bert Richardson,322
7,DEM,Elizabeth Davis Frizell,91
7,REP,Bert Richardson,438
8,DEM,Elizabeth Davis Frizell,29
8,REP,Bert Richardson,142
9,DEM,Elizabeth Davis Frizell,88
9,REP,Bert Richardson,414
