precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
100,71,92,653,184,4395,5395,1.32%,1.71%,12.10%,3.41%,81.46%
105,45,23,405,132,2524,3129,1.44%,0.74%,12.94%,4.22%,80.66%
110,39,56,478,153,2270,2996,1.30%,1.87%,15.95%,5.11%,75.77%
111,29,68,366,95,1854,2412,1.20%,2.82%,15.17%,3.94%,76.87%
115,50,88,557,178,3374,4247,1.18%,2.07%,13.12%,4.19%,79.44%
120,34,66,436,166,2853,3555,0.96%,1.86%,12.26%,4.67%,80.25%
125,23,66,616,229,3344,4278,0.54%,1.54%,14.40%,5.35%,78.17%
130,62,90,1231,308,4419,6110,1.01%,1.47%,20.15%,5.04%,72.32%
135,27,65,389,145,2033,2659,1.02%,2.44%,14.63%,5.45%,76.46%
140,22,20,201,76,1608,1927,1.14%,1.04%,10.43%,3.94%,83.45%
200,28,85,764,139,2182,3198,0.88%,2.66%,23.89%,4.35%,68.23%
205,29,83,764,117,2270,3263,0.89%,2.54%,23.41%,3.59%,69.57%
210,10,42,338,154,2290,2834,0.35%,1.48%,11.93%,5.43%,80.80%
215,41,67,637,269,4248,5262,0.78%,1.27%,12.11%,5.11%,80.73%
220,3,11,83,37,966,1100,0.27%,1.00%,7.55%,3.36%,87.82%
225,13,35,187,59,1512,1806,0.72%,1.94%,10.35%,3.27%,83.72%
230,13,48,328,119,1837,2345,0.55%,2.05%,13.99%,5.07%,78.34%
235,19,25,186,83,1175,1488,1.28%,1.68%,12.50%,5.58%,78.97%
240,40,40,357,126,1863,2426,1.65%,1.65%,14.72%,5.19%,76.79%
245,19,22,367,77,1507,1992,0.95%,1.10%,18.42%,3.87%,75.65%
250,23,27,151,67,1456,1724,1.33%,1.57%,8.76%,3.89%,84.45%
255,62,186,520,147,2593,3508,1.77%,5.30%,14.82%,4.19%,73.92%
300,16,104,361,95,1987,2563,0.62%,4.06%,14.09%,3.71%,77.53%
305,53,123,520,132,3350,4178,1.27%,2.94%,12.45%,3.16%,80.18%
310,56,130,452,74,2489,3201,1.75%,4.06%,14.12%,2.31%,77.76%
315,179,146,588,229,4725,5867,3.05%,2.49%,10.02%,3.90%,80.54%
320,26,40,359,91,2429,2945,0.88%,1.36%,12.19%,3.09%,82.48%
325,7,16,293,117,2061,2494,0.28%,0.64%,11.75%,4.69%,82.64%
330,24,38,1005,136,2027,3230,0.74%,1.18%,31.11%,4.21%,62.76%
335,43,60,391,182,4807,5483,0.78%,1.09%,7.13%,3.32%,87.67%
340,13,10,117,42,1135,1317,0.99%,0.76%,8.88%,3.19%,86.18%
345,34,75,520,129,2633,3391,1.00%,2.21%,15.33%,3.80%,77.65%
350,31,37,461,170,2872,3571,0.87%,1.04%,12.91%,4.76%,80.43%
400,87,125,653,120,3428,4413,1.97%,2.83%,14.80%,2.72%,77.68%
405,76,76,449,143,3728,4472,1.70%,1.70%,10.04%,3.20%,83.36%
410,47,56,252,75,2564,2994,1.57%,1.87%,8.42%,2.51%,85.64%
415,188,167,583,170,4034,5142,3.66%,3.25%,11.34%,3.31%,78.45%
420,50,67,299,53,2476,2945,1.70%,2.28%,10.15%,1.80%,84.07%
425,16,36,352,93,1547,2044,0.78%,1.76%,17.22%,4.55%,75.68%
430,105,85,544,114,3718,4566,2.30%,1.86%,11.91%,2.50%,81.43%
435,76,45,520,137,3542,4320,1.76%,1.04%,12.04%,3.17%,81.99%
440,79,102,443,164,4580,5368,1.47%,1.90%,8.25%,3.06%,85.32%
445,37,40,180,73,2403,2733,1.35%,1.46%,6.59%,2.67%,87.93%
450,45,46,463,138,2639,3331,1.35%,1.38%,13.90%,4.14%,79.23%
