precinct,party,candidate,votes
105,,Gary Veazey,8
105,,Mark Bryant,4
105,,Over Votes,0
105,,Paul Gregory,3
105,,Under Votes,29
110,,Gary Veazey,75
110,,Mark Bryant,67
110,,Over Votes,0
110,,Paul Gregory,52
110,,Under Votes,90
115,,Gary Veazey,404
115,,Mark Bryant,337
115,,Over Votes,1
115,,Paul Gregory,261
115,,Under Votes,487
120,,Gary Veazey,458
120,,Mark Bryant,468
120,,Over Votes,0
120,,Paul Gregory,306
120,,Under Votes,355
125,,Gary Veazey,565
125,,Mark Bryant,543
125,,Over Votes,0
125,,Paul Gregory,434
125,,Under Votes,530
130,,Gary Veazey,512
130,,Mark Bryant,396
130,,Over Votes,0
130,,Paul Gregory,290
130,,Under Votes,555
135,,Gary Veazey,70
135,,Mark Bryant,65
135,,Over Votes,0
135,,Paul Gregory,48
135,,Under Votes,77
140,,Gary Veazey,272
140,,Mark Bryant,247
140,,Over Votes,0
140,,Paul Gregory,172
140,,Under Votes,252
210,,Gary Veazey,34
210,,Mark Bryant,14
210,,Over Votes,0
210,,Paul Gregory,15
210,,Under Votes,25
240,,Gary Veazey,281
240,,Mark Bryant,230
240,,Over Votes,0
240,,Paul Gregory,196
240,,Under Votes,253
