precinct,party,candidate,votes
101,,Over Votes,0
101,,Under Votes,2
101,,Write-in,0
101,DEM,Beto O'Rourke,56
101,GRN,Delilah Barrios,5
101,LIB,Mark Tippetts,2
101,REP,Greg Abbott,423
201,,Over Votes,0
201,,Under Votes,3
201,,Write-in,0
201,DEM,Beto O'Rourke,47
201,GRN,Delilah Barrios,2
201,LIB,Mark Tippetts,2
201,REP,Greg Abbott,172
202,,Over Votes,0
202,,Under Votes,0
202,,Write-in,0
202,DEM,Beto O'Rourke,5
202,GRN,Delilah Barrios,1
202,LIB,Mark Tippetts,1
202,REP,Greg Abbott,155
301,,Over Votes,0
301,,Under Votes,0
301,,Write-in,0
301,DEM,Beto O'Rourke,58
301,GRN,Delilah Barrios,1
301,LIB,Mark Tippetts,4
301,REP,Greg Abbott,564
303,,Over Votes,0
303,,Under Votes,0
303,,Write-in,0
303,DEM,Beto O'Rourke,0
303,GRN,Delilah Barrios,0
303,LIB,Mark Tippetts,0
303,REP,Greg Abbott,18
401,,Over Votes,0
401,,Under Votes,0
401,,Write-in,0
401,DEM,Beto O'Rourke,5
401,GRN,Delilah Barrios,0
401,LIB,Mark Tippetts,0
401,REP,Greg Abbott,144
402,,Over Votes,0
402,,Under Votes,0
402,,Write-in,0
402,DEM,Beto O'Rourke,31
402,GRN,Delilah Barrios,1
402,LIB,Mark Tippetts,1
402,REP,Greg Abbott,70
