precinct,party,candidate,votes
1,DEM,Luke Warford,273
1,GRN,Hunter Wayne Crow,12
1,LIB,Jaime Andres Diez,69
1,REP,Wayne Christian,600
10,DEM,Luke Warford,108
10,GRN,Hunter Wayne Crow,6
10,LIB,Jaime Andres Diez,27
10,REP,Wayne Christian,186
2,DEM,Luke Warford,304
2,GRN,Hunter Wayne Crow,9
2,LIB,Jaime Andres Diez,62
2,REP,Wayne Christian,502
3,DEM,Luke Warford,6
3,GRN,Hunter Wayne Crow,1
3,LIB,Jaime Andres Diez,2
3,REP,Wayne Christian,93
4,DEM,Luke Warford,31
4,GRN,Hunter Wayne Crow,2
4,LIB,Jaime Andres Diez,7
4,REP,Wayne Christian,228
5,DEM,Luke Warford,1
5,GRN,Hunter Wayne Crow,0
5,LIB,Jaime Andres Diez,0
5,REP,Wayne Christian,40
6,DEM,Luke Warford,15
6,GRN,Hunter Wayne Crow,0
6,LIB,Jaime Andres Diez,3
6,REP,Wayne Christian,41
7,DEM,Luke Warford,247
7,GRN,Hunter Wayne Crow,6
7,LIB,Jaime Andres Diez,33
7,REP,Wayne Christian,414
9,DEM,Luke Warford,18
9,GRN,Hunter Wayne Crow,1
9,LIB,Jaime Andres Diez,6
9,REP,Wayne Christian,96
