precinct,party,candidate,votes
121,DEM,Robert Johnson,184
121,REP,"Jesse F. McClure, III",948
122,DEM,Robert Johnson,233
122,REP,"Jesse F. McClure, III",771
123,DEM,Robert Johnson,539
123,REP,"Jesse F. McClure, III",1132
124,DEM,Robert Johnson,281
124,REP,"Jesse F. McClure, III",901
125,DEM,Robert Johnson,512
125,REP,"Jesse F. McClure, III",1040
126,DEM,Robert Johnson,320
126,REP,"Jesse F. McClure, III",614
221,DEM,Robert Johnson,131
221,REP,"Jesse F. McClure, III",220
222,DEM,Robert Johnson,98
222,REP,"Jesse F. McClure, III",254
223,DEM,Robert Johnson,211
223,REP,"Jesse F. McClure, III",259
224,DEM,Robert Johnson,278
224,REP,"Jesse F. McClure, III",538
225,DEM,Robert Johnson,155
225,REP,"Jesse F. McClure, III",224
321,DEM,Robert Johnson,141
321,REP,"Jesse F. McClure, III",1655
322,DEM,Robert Johnson,15
322,REP,"Jesse F. McClure, III",119
323,DEM,Robert Johnson,238
323,REP,"Jesse F. McClure, III",1877
324,DEM,Robert Johnson,408
324,REP,"Jesse F. McClure, III",2041
325,DEM,Robert Johnson,279
325,REP,"Jesse F. McClure, III",855
326,DEM,Robert Johnson,182
326,REP,"Jesse F. McClure, III",1142
327,DEM,Robert Johnson,99
327,REP,"Jesse F. McClure, III",410
421,DEM,Robert Johnson,129
421,REP,"Jesse F. McClure, III",141
422,DEM,Robert Johnson,464
422,REP,"Jesse F. McClure, III",416
424,DEM,Robert Johnson,195
424,REP,"Jesse F. McClure, III",162
425,DEM,Robert Johnson,193
425,REP,"Jesse F. McClure, III",220
426,DEM,Robert Johnson,58
426,REP,"Jesse F. McClure, III",99
427,DEM,Robert Johnson,67
427,REP,"Jesse F. McClure, III",76
