precinct,party,candidate,votes
121,DEM,Amanda Reichek,177
121,REP,Rebeca Huddle,962
122,DEM,Amanda Reichek,235
122,REP,Rebeca Huddle,774
123,DEM,Amanda Reichek,550
123,REP,Rebeca Huddle,1123
124,DEM,Amanda Reichek,284
124,REP,Rebeca Huddle,902
125,DEM,Amanda Reichek,509
125,REP,Rebeca Huddle,1044
126,DEM,Amanda Reichek,323
126,REP,Rebeca Huddle,615
221,DEM,Amanda Reichek,128
221,REP,Rebeca Huddle,221
222,DEM,Amanda Reichek,97
222,REP,Rebeca Huddle,254
223,DEM,Amanda Reichek,207
223,REP,Rebeca Huddle,266
224,DEM,Amanda Reichek,277
224,REP,Rebeca Huddle,542
225,DEM,Amanda Reichek,150
225,REP,Rebeca Huddle,230
321,DEM,Amanda Reichek,142
321,REP,Rebeca Huddle,1660
322,DEM,Amanda Reichek,15
322,REP,Rebeca Huddle,120
323,DEM,Amanda Reichek,246
323,REP,Rebeca Huddle,1882
324,DEM,Amanda Reichek,413
324,REP,Rebeca Huddle,2040
325,DEM,Amanda Reichek,281
325,REP,Rebeca Huddle,855
326,DEM,Amanda Reichek,174
326,REP,Rebeca Huddle,1153
327,DEM,Amanda Reichek,95
327,REP,Rebeca Huddle,416
421,DEM,Amanda Reichek,125
421,REP,Rebeca Huddle,145
422,DEM,Amanda Reichek,462
422,REP,Rebeca Huddle,414
424,DEM,Amanda Reichek,195
424,REP,Rebeca Huddle,161
425,DEM,Amanda Reichek,195
425,REP,Rebeca Huddle,220
426,DEM,Amanda Reichek,56
426,REP,Rebeca Huddle,102
427,DEM,Amanda Reichek,68
427,REP,Rebeca Huddle,75
