precinct,party,candidate,votes
103,DEM,Julia Maldonado,126
103,REP,Evan Young,201
110,DEM,Julia Maldonado,195
110,REP,Evan Young,1712
111,DEM,Julia Maldonado,427
111,REP,Evan Young,1219
112,DEM,Julia Maldonado,347
112,REP,Evan Young,926
114,DEM,Julia Maldonado,391
114,REP,Evan Young,1097
123,DEM,Julia Maldonado,49
123,REP,Evan Young,582
131,DEM,Julia Maldonado,127
131,REP,Evan Young,947
204,DEM,Julia Maldonado,397
204,REP,Evan Young,2051
208,DEM,Julia Maldonado,73
208,REP,Evan Young,827
216,DEM,Julia Maldonado,223
216,REP,Evan Young,664
222,DEM,Julia Maldonado,433
222,REP,Evan Young,2032
227,DEM,Julia Maldonado,318
227,REP,Evan Young,1780
228,DEM,Julia Maldonado,517
228,REP,Evan Young,2331
230,DEM,Julia Maldonado,450
230,REP,Evan Young,2266
301,DEM,Julia Maldonado,82
301,REP,Evan Young,972
302,DEM,Julia Maldonado,269
302,REP,Evan Young,1110
305,DEM,Julia Maldonado,307
305,REP,Evan Young,1031
306,DEM,Julia Maldonado,238
306,REP,Evan Young,1312
307,DEM,Julia Maldonado,57
307,REP,Evan Young,617
309,DEM,Julia Maldonado,193
309,REP,Evan Young,1612
315,DEM,Julia Maldonado,16
315,REP,Evan Young,168
317,DEM,Julia Maldonado,7
317,REP,Evan Young,28
324,DEM,Julia Maldonado,447
324,REP,Evan Young,2361
325,DEM,Julia Maldonado,152
325,REP,Evan Young,1244
332,DEM,Julia Maldonado,123
332,REP,Evan Young,1316
415,DEM,Julia Maldonado,368
415,REP,Evan Young,1301
418,DEM,Julia Maldonado,379
418,REP,Evan Young,1170
420,DEM,Julia Maldonado,381
420,REP,Evan Young,1564
421,DEM,Julia Maldonado,337
421,REP,Evan Young,1149
426,DEM,Julia Maldonado,351
426,REP,Evan Young,1999
429,DEM,Julia Maldonado,545
429,REP,Evan Young,1623
