precinct,party,candidate,votes
103,DEM,Kathleen Brown,124
103,REP,Ronny Jackson,190
110,DEM,Kathleen Brown,185
110,REP,Ronny Jackson,1732
111,DEM,Kathleen Brown,435
111,REP,Ronny Jackson,1231
112,DEM,Kathleen Brown,339
112,REP,Ronny Jackson,936
114,DEM,Kathleen Brown,395
114,REP,Ronny Jackson,1101
123,DEM,Kathleen Brown,47
123,REP,Ronny Jackson,582
131,DEM,Kathleen Brown,130
131,REP,Ronny Jackson,949
204,DEM,Kathleen Brown,413
204,REP,Ronny Jackson,2031
208,DEM,Kathleen Brown,81
208,REP,Ronny Jackson,819
216,DEM,Kathleen Brown,224
216,REP,Ronny Jackson,668
222,DEM,Kathleen Brown,464
222,REP,Ronny Jackson,1987
227,DEM,Kathleen Brown,338
227,REP,Ronny Jackson,1752
228,DEM,Kathleen Brown,534
228,REP,Ronny Jackson,2308
230,DEM,Kathleen Brown,475
230,REP,Ronny Jackson,2238
301,DEM,Kathleen Brown,85
301,REP,Ronny Jackson,969
302,DEM,Kathleen Brown,283
302,REP,Ronny Jackson,1101
305,DEM,Kathleen Brown,323
305,REP,Ronny Jackson,1023
306,DEM,Kathleen Brown,249
306,REP,Ronny Jackson,1299
307,DEM,Kathleen Brown,68
307,REP,Ronny Jackson,606
309,DEM,Kathleen Brown,187
309,REP,Ronny Jackson,1619
315,DEM,Kathleen Brown,20
315,REP,Ronny Jackson,168
317,DEM,Kathleen Brown,9
317,REP,Ronny Jackson,28
324,DEM,Kathleen Brown,480
324,REP,Ronny Jackson,2334
325,DEM,Kathleen Brown,158
325,REP,Ronny Jackson,1242
332,DEM,Kathleen Brown,117
332,REP,Ronny Jackson,1315
415,DEM,Kathleen Brown,355
415,REP,Ronny Jackson,1311
418,DEM,Kathleen Brown,386
418,REP,Ronny Jackson,1162
420,DEM,Kathleen Brown,379
420,REP,Ronny Jackson,1554
421,DEM,Kathleen Brown,344
421,REP,Ronny Jackson,1142
426,DEM,Kathleen Brown,350
426,REP,Ronny Jackson,2009
429,DEM,Kathleen Brown,565
429,REP,Ronny Jackson,1607
