precinct,party,candidate,votes
1,DEM,Elizabeth Davis Frizell,6
1,REP,Bert Richardson,55
10,DEM,Elizabeth Davis Frizell,13
10,REP,Bert Richardson,142
11,DEM,Elizabeth Davis Frizell,11
11,REP,Bert Richardson,104
13,DEM,Elizabeth Davis Frizell,69
13,REP,Bert Richardson,414
14,DEM,Elizabeth Davis Frizell,13
14,REP,Bert Richardson,132
17,DEM,Elizabeth Davis Frizell,22
17,REP,Bert Richardson,153
18,DEM,Elizabeth Davis Frizell,15
18,REP,Bert Richardson,100
19,DEM,Elizabeth Davis Frizell,38
19,REP,Bert Richardson,299
2,DEM,Elizabeth Davis Frizell,141
2,REP,Bert Richardson,292
20,DEM,Elizabeth Davis Frizell,40
20,REP,Bert Richardson,62
21,DEM,Elizabeth Davis Frizell,30
21,REP,Bert Richardson,80
24,DEM,Elizabeth Davis Frizell,26
24,REP,Bert Richardson,111
27,DEM,Elizabeth Davis Frizell,27
27,REP,Bert Richardson,286
28,DEM,Elizabeth Davis Frizell,41
28,REP,Bert Richardson,118
29,DEM,Elizabeth Davis Frizell,25
29,REP,Bert Richardson,91
3,DEM,Elizabeth Davis Frizell,327
3,REP,Bert Richardson,378
30,DEM,Elizabeth Davis Frizell,8
30,REP,Bert Richardson,84
31,DEM,Elizabeth Davis Frizell,9
31,REP,Bert Richardson,109
4,DEM,Elizabeth Davis Frizell,235
4,REP,Bert Richardson,354
5,DEM,Elizabeth Davis Frizell,92
5,REP,Bert Richardson,635
7,DEM,Elizabeth Davis Frizell,35
7,REP,Bert Richardson,165
9,DEM,Elizabeth Davis Frizell,10
9,REP,Bert Richardson,208
