precinct,party,candidate,votes
1,DEM,Kathy Cheng,5
1,REP,Jane Bland,57
10,DEM,Kathy Cheng,12
10,REP,Jane Bland,143
11,DEM,Kathy Cheng,9
11,REP,Jane Bland,106
13,DEM,Kathy Cheng,67
13,REP,Jane Bland,414
14,DEM,Kathy Cheng,15
14,REP,Jane Bland,129
17,DEM,Kathy Cheng,17
17,REP,Jane Bland,159
18,DEM,Kathy Cheng,11
18,REP,Jane Bland,103
19,DEM,Kathy Cheng,35
19,REP,Jane Bland,305
2,DEM,Kathy Cheng,139
2,REP,Jane Bland,296
20,DEM,Kathy Cheng,38
20,REP,Jane Bland,62
21,DEM,Kathy Cheng,30
21,REP,Jane Bland,83
24,DEM,Kathy Cheng,26
24,REP,Jane Bland,112
27,DEM,Kathy Cheng,25
27,REP,Jane Bland,289
28,DEM,Kathy Cheng,40
28,REP,Jane Bland,119
29,DEM,Kathy Cheng,25
29,REP,Jane Bland,88
3,DEM,Kathy Cheng,321
3,REP,Jane Bland,382
30,DEM,Kathy Cheng,8
30,REP,Jane Bland,85
31,DEM,Kathy Cheng,7
31,REP,Jane Bland,111
4,DEM,Kathy Cheng,238
4,REP,Jane Bland,359
5,DEM,Kathy Cheng,81
5,REP,Jane Bland,645
7,DEM,Kathy Cheng,34
7,REP,Jane Bland,166
9,DEM,Kathy Cheng,10
9,REP,Jane Bland,209
