precinct,party,candidate,votes
10,DEM,John Lira,112
10,IND,Frank Lopez Jr,10
10,REP,Tony Gonzales,230
11,DEM,John Lira,102
11,IND,Frank Lopez Jr,4
11,REP,Tony Gonzales,68
2,DEM,John Lira,158
2,IND,Frank Lopez Jr,19
2,REP,Tony Gonzales,205
3,DEM,John Lira,105
3,IND,Frank Lopez Jr,15
3,REP,Tony Gonzales,233
4,DEM,John Lira,3
4,IND,Frank Lopez Jr,0
4,REP,Tony Gonzales,11
5,DEM,John Lira,35
5,IND,Frank Lopez Jr,18
5,REP,Tony Gonzales,99
6,DEM,John Lira,5
6,IND,Frank Lopez Jr,1
6,REP,Tony Gonzales,22
7,DEM,John Lira,156
7,IND,Frank Lopez Jr,18
7,REP,Tony Gonzales,282
8,DEM,John Lira,38
8,IND,Frank Lopez Jr,10
8,REP,Tony Gonzales,91
