precinct,party,candidate,votes
1,DEM,Amanda Reichek,64
1,REP,Rebeca Huddle,100
1A,DEM,Amanda Reichek,106
1A,REP,Rebeca Huddle,106
2,DEM,Amanda Reichek,85
2,REP,Rebeca Huddle,374
2A,DEM,Amanda Reichek,10
2A,REP,Rebeca Huddle,119
2B,DEM,Amanda Reichek,45
2B,REP,Rebeca Huddle,125
3,DEM,Amanda Reichek,40
3,REP,Rebeca Huddle,217
3A,DEM,Amanda Reichek,56
3A,REP,Rebeca Huddle,260
4,DEM,Amanda Reichek,116
4,REP,Rebeca Huddle,93
4A,DEM,Amanda Reichek,81
4A,REP,Rebeca Huddle,127
4B,DEM,Amanda Reichek,42
4B,REP,Rebeca Huddle,70
