precinct,party,candidate,votes
1,DEM,Josh Tutt,66
1,REP,Lois W. Kolkhorst,102
1A,DEM,Josh Tutt,108
1A,REP,Lois W. Kolkhorst,105
2,DEM,Josh Tutt,87
2,REP,Lois W. Kolkhorst,376
2A,DEM,Josh Tutt,9
2A,REP,Lois W. Kolkhorst,119
2B,DEM,Josh Tutt,43
2B,REP,Lois W. Kolkhorst,124
3,DEM,Josh Tutt,39
3,REP,Lois W. Kolkhorst,222
3A,DEM,Josh Tutt,57
3A,REP,Lois W. Kolkhorst,259
4,DEM,Josh Tutt,113
4,REP,Lois W. Kolkhorst,101
4A,DEM,Josh Tutt,78
4A,REP,Lois W. Kolkhorst,132
4B,DEM,Josh Tutt,41
4B,REP,Lois W. Kolkhorst,74
