precinct,party,candidate,votes
4,,Over Votes,0
4,,Under Votes,4
4,DEM,Susan Hays,58
4,REP,Sid Miller,376
11,,Over Votes,0
11,,Under Votes,10
11,DEM,Susan Hays,146
11,REP,Sid Miller,520
5,,Over Votes,0
5,,Under Votes,14
5,DEM,Susan Hays,114
5,REP,Sid Miller,671
1,,Over Votes,0
1,,Under Votes,12
1,DEM,Susan Hays,177
1,REP,Sid Miller,434
23,,Over Votes,0
23,,Under Votes,5
23,DEM,Susan Hays,91
23,REP,Sid Miller,159
16,,Over Votes,0
16,,Under Votes,6
16,DEM,Susan Hays,13
16,REP,Sid Miller,129
13,,Over Votes,0
13,,Under Votes,4
13,DEM,Susan Hays,11
13,REP,Sid Miller,147
6,,Over Votes,0
6,,Under Votes,20
6,DEM,Susan Hays,91
6,REP,Sid Miller,741
2,,Over Votes,0
2,,Under Votes,15
2,DEM,Susan Hays,176
2,REP,Sid Miller,444
19,,Over Votes,0
19,,Under Votes,6
19,DEM,Susan Hays,43
19,REP,Sid Miller,342
8,,Over Votes,0
8,,Under Votes,2
8,DEM,Susan Hays,16
8,REP,Sid Miller,173
22,,Over Votes,0
22,,Under Votes,5
22,DEM,Susan Hays,338
22,REP,Sid Miller,123
3,,Over Votes,0
3,,Under Votes,7
3,DEM,Susan Hays,40
3,REP,Sid Miller,354
