precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
1,353,329,632,164,4619,6097,5.79%,5.40%,10.37%,2.69%,75.76%
2,297,506,837,163,4421,6224,4.77%,8.13%,13.45%,2.62%,71.03%
3,166,381,520,25,1533,2625,6.32%,14.51%,19.81%,0.95%,58.40%
4,675,1841,4148,360,10789,17813,3.79%,10.34%,23.29%,2.02%,60.57%
1A,214,560,842,136,2975,4727,4.53%,11.85%,17.81%,2.88%,62.94%
1C,280,330,609,198,4489,5906,4.74%,5.59%,10.31%,3.35%,76.01%
1D,76,325,522,64,811,1798,4.23%,18.08%,29.03%,3.56%,45.11%
1E,126,173,283,57,2159,2798,4.50%,6.18%,10.11%,2.04%,77.16%
2A,143,201,452,131,3240,4167,3.43%,4.82%,10.85%,3.14%,77.75%
2B,185,430,477,59,1640,2791,6.63%,15.41%,17.09%,2.11%,58.76%
2C,101,78,200,74,1555,2008,5.03%,3.88%,9.96%,3.69%,77.44%
2D,264,934,961,52,1906,4117,6.41%,22.69%,23.34%,1.26%,46.30%
2E,244,833,3096,96,1902,6171,3.95%,13.50%,50.17%,1.56%,30.82%
2F,27,292,353,28,896,1596,1.69%,18.30%,22.12%,1.75%,56.14%
3C,134,136,310,145,3505,4230,3.17%,3.22%,7.33%,3.43%,82.86%
3D,200,313,809,213,3924,5459,3.66%,5.73%,14.82%,3.90%,71.88%
3E,135,207,290,112,2725,3469,3.89%,5.97%,8.36%,3.23%,78.55%
1BA,332,343,769,159,4823,6426,5.17%,5.34%,11.97%,2.47%,75.05%
1BB,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%
3AA,127,201,1078,151,3177,4734,2.68%,4.25%,22.77%,3.19%,67.11%
3AB,1,3,22,0,70,96,1.04%,3.12%,22.92%,0.00%,72.92%
3BA,202,488,750,121,3509,5070,3.98%,9.63%,14.79%,2.39%,69.21%
3BB,1,3,45,3,7,59,1.69%,5.08%,76.27%,5.08%,11.86%
