precinct,party,candidate,votes
111,DEM,Staci Williams,105
111,REP,Jeff Boyd,533
112,DEM,Staci Williams,233
112,REP,Jeff Boyd,1053
113,DEM,Staci Williams,387
113,REP,Jeff Boyd,1633
114,DEM,Staci Williams,201
114,REP,Jeff Boyd,853
201,DEM,Staci Williams,154
201,REP,Jeff Boyd,467
212,DEM,Staci Williams,98
212,REP,Jeff Boyd,523
213,DEM,Staci Williams,233
213,REP,Jeff Boyd,1136
214,DEM,Staci Williams,397
214,REP,Jeff Boyd,1401
215,DEM,Staci Williams,395
215,REP,Jeff Boyd,1174
302,DEM,Staci Williams,299
302,REP,Jeff Boyd,351
303,DEM,Staci Williams,422
303,REP,Jeff Boyd,470
314,DEM,Staci Williams,99
314,REP,Jeff Boyd,673
315,DEM,Staci Williams,57
315,REP,Jeff Boyd,558
316,DEM,Staci Williams,33
316,REP,Jeff Boyd,297
317,DEM,Staci Williams,163
317,REP,Jeff Boyd,251
318,DEM,Staci Williams,138
318,REP,Jeff Boyd,610
319,DEM,Staci Williams,100
319,REP,Jeff Boyd,152
404,DEM,Staci Williams,214
404,REP,Jeff Boyd,972
405,DEM,Staci Williams,170
405,REP,Jeff Boyd,699
416,DEM,Staci Williams,99
416,REP,Jeff Boyd,534
417,DEM,Staci Williams,210
417,REP,Jeff Boyd,754
418,DEM,Staci Williams,249
418,REP,Jeff Boyd,1243
