precinct,party,candidate,votes
1,DEM,Chrysta Castaneda,262
1,GRN,"Katija ""Kat"" Gruene",3
1,LIB,Matt Sterett,9
1,REP,"James ""Jim"" Wright",531
10,DEM,Chrysta Castaneda,20
10,GRN,"Katija ""Kat"" Gruene",1
10,LIB,Matt Sterett,0
10,REP,"James ""Jim"" Wright",276
11,DEM,Chrysta Castaneda,190
11,GRN,"Katija ""Kat"" Gruene",1
11,LIB,Matt Sterett,2
11,REP,"James ""Jim"" Wright",10
2,DEM,Chrysta Castaneda,110
2,GRN,"Katija ""Kat"" Gruene",1
2,LIB,Matt Sterett,1
2,REP,"James ""Jim"" Wright",122
3,DEM,Chrysta Castaneda,45
3,GRN,"Katija ""Kat"" Gruene",1
3,LIB,Matt Sterett,6
3,REP,"James ""Jim"" Wright",117
4,DEM,Chrysta Castaneda,83
4,GRN,"Katija ""Kat"" Gruene",0
4,LIB,Matt Sterett,1
4,REP,"James ""Jim"" Wright",184
5,DEM,Chrysta Castaneda,38
5,GRN,"Katija ""Kat"" Gruene",1
5,LIB,Matt Sterett,3
5,REP,"James ""Jim"" Wright",220
6,DEM,Chrysta Castaneda,15
6,GRN,"Katija ""Kat"" Gruene",0
6,LIB,Matt Sterett,3
6,REP,"James ""Jim"" Wright",190
7,DEM,Chrysta Castaneda,29
7,GRN,"Katija ""Kat"" Gruene",1
7,LIB,Matt Sterett,1
7,REP,"James ""Jim"" Wright",208
8,DEM,Chrysta Castaneda,31
8,GRN,"Katija ""Kat"" Gruene",6
8,LIB,Matt Sterett,6
8,REP,"James ""Jim"" Wright",417
9,DEM,Chrysta Castaneda,67
9,GRN,"Katija ""Kat"" Gruene",0
9,LIB,Matt Sterett,4
9,REP,"James ""Jim"" Wright",584
