precinct,party,candidate,votes
1,DEM,Rochelle Mercedes Garza,278
1,LIB,Mark Ash,41
1,REP,Ken Paxton,1305
10,DEM,Rochelle Mercedes Garza,50
10,LIB,Mark Ash,11
10,REP,Ken Paxton,298
11,DEM,Rochelle Mercedes Garza,95
11,LIB,Mark Ash,11
11,REP,Ken Paxton,281
2,DEM,Rochelle Mercedes Garza,270
2,LIB,Mark Ash,25
2,REP,Ken Paxton,1299
3,DEM,Rochelle Mercedes Garza,76
3,LIB,Mark Ash,13
3,REP,Ken Paxton,427
4,DEM,Rochelle Mercedes Garza,22
4,LIB,Mark Ash,12
4,REP,Ken Paxton,362
5,DEM,Rochelle Mercedes Garza,114
5,LIB,Mark Ash,18
5,REP,Ken Paxton,899
6,DEM,Rochelle Mercedes Garza,197
6,LIB,Mark Ash,30
6,REP,Ken Paxton,1083
7,DEM,Rochelle Mercedes Garza,270
7,LIB,Mark Ash,15
7,REP,Ken Paxton,1004
8,DEM,Rochelle Mercedes Garza,117
8,LIB,Mark Ash,12
8,REP,Ken Paxton,531
9,DEM,Rochelle Mercedes Garza,43
9,LIB,Mark Ash,5
9,REP,Ken Paxton,289
