precinct,party,candidate,votes
1,DEM,Janet T. Dudding,267
1,LIB,V. Alonzo Echevarria-Garza,23
1,REP,Glenn Hegar,1326
10,DEM,Janet T. Dudding,44
10,LIB,V. Alonzo Echevarria-Garza,11
10,REP,Glenn Hegar,305
11,DEM,Janet T. Dudding,91
11,LIB,V. Alonzo Echevarria-Garza,9
11,REP,Glenn Hegar,283
2,DEM,Janet T. Dudding,258
2,LIB,V. Alonzo Echevarria-Garza,27
2,REP,Glenn Hegar,1305
3,DEM,Janet T. Dudding,79
3,LIB,V. Alonzo Echevarria-Garza,7
3,REP,Glenn Hegar,431
4,DEM,Janet T. Dudding,25
4,LIB,V. Alonzo Echevarria-Garza,7
4,REP,Glenn Hegar,362
5,DEM,Janet T. Dudding,108
5,LIB,V. Alonzo Echevarria-Garza,10
5,REP,Glenn Hegar,917
6,DEM,Janet T. Dudding,187
6,LIB,V. Alonzo Echevarria-Garza,19
6,REP,Glenn Hegar,1107
7,DEM,Janet T. Dudding,263
7,LIB,V. Alonzo Echevarria-Garza,12
7,REP,Glenn Hegar,1013
8,DEM,Janet T. Dudding,113
8,LIB,V. Alonzo Echevarria-Garza,4
8,REP,Glenn Hegar,541
9,DEM,Janet T. Dudding,35
9,LIB,V. Alonzo Echevarria-Garza,2
9,REP,Glenn Hegar,302
