precinct,party,candidate,votes
1,DEM,Amanda Reichek,277
1,REP,Rebeca Huddle,1329
10,DEM,Amanda Reichek,50
10,REP,Rebeca Huddle,310
11,DEM,Amanda Reichek,91
11,REP,Rebeca Huddle,291
2,DEM,Amanda Reichek,276
2,REP,Rebeca Huddle,1308
3,DEM,Amanda Reichek,80
3,REP,Rebeca Huddle,435
4,DEM,Amanda Reichek,28
4,REP,Rebeca Huddle,366
5,DEM,Amanda Reichek,115
5,REP,Rebeca Huddle,912
6,DEM,Amanda Reichek,198
6,REP,Rebeca Huddle,1108
7,DEM,Amanda Reichek,277
7,REP,Rebeca Huddle,1003
8,DEM,Amanda Reichek,118
8,REP,Rebeca Huddle,537
9,DEM,Amanda Reichek,42
9,REP,Rebeca Huddle,294
