precinct,party,candidate,votes
101,DEM,Mike Collier,80
101,LIB,Shanna Steele,8
101,REP,Dan Patrick,118
102,DEM,Mike Collier,392
102,LIB,Shanna Steele,17
102,REP,Dan Patrick,622
103,DEM,Mike Collier,34
103,LIB,Shanna Steele,3
103,REP,Dan Patrick,198
104,DEM,Mike Collier,193
104,LIB,Shanna Steele,15
104,REP,Dan Patrick,462
105,DEM,Mike Collier,264
105,LIB,Shanna Steele,8
105,REP,Dan Patrick,209
106,DEM,Mike Collier,78
106,LIB,Shanna Steele,11
106,REP,Dan Patrick,304
107,DEM,Mike Collier,42
107,LIB,Shanna Steele,1
107,REP,Dan Patrick,104
108,DEM,Mike Collier,502
108,LIB,Shanna Steele,44
108,REP,Dan Patrick,1252
109,DEM,Mike Collier,294
109,LIB,Shanna Steele,29
109,REP,Dan Patrick,891
110,DEM,Mike Collier,277
110,LIB,Shanna Steele,14
110,REP,Dan Patrick,422
111,DEM,Mike Collier,22
111,LIB,Shanna Steele,2
111,REP,Dan Patrick,101
112,DEM,Mike Collier,283
112,LIB,Shanna Steele,15
112,REP,Dan Patrick,210
113,DEM,Mike Collier,337
113,LIB,Shanna Steele,33
113,REP,Dan Patrick,512
114,DEM,Mike Collier,215
114,LIB,Shanna Steele,28
114,REP,Dan Patrick,714
115,DEM,Mike Collier,508
115,LIB,Shanna Steele,51
115,REP,Dan Patrick,1550
116,DEM,Mike Collier,379
116,LIB,Shanna Steele,43
116,REP,Dan Patrick,1326
117,DEM,Mike Collier,59
117,LIB,Shanna Steele,3
117,REP,Dan Patrick,194
118,DEM,Mike Collier,464
118,LIB,Shanna Steele,17
118,REP,Dan Patrick,567
119,DEM,Mike Collier,186
119,LIB,Shanna Steele,16
119,REP,Dan Patrick,436
120,DEM,Mike Collier,87
120,LIB,Shanna Steele,6
120,REP,Dan Patrick,302
121,DEM,Mike Collier,276
121,LIB,Shanna Steele,28
121,REP,Dan Patrick,564
122,DEM,Mike Collier,3
122,LIB,Shanna Steele,0
122,REP,Dan Patrick,8
123,DEM,Mike Collier,17
123,LIB,Shanna Steele,0
123,REP,Dan Patrick,32
124,DEM,Mike Collier,563
124,LIB,Shanna Steele,22
124,REP,Dan Patrick,630
125,DEM,Mike Collier,7
125,LIB,Shanna Steele,2
125,REP,Dan Patrick,12
