precinct,party,candidate,votes
10,DEM,Rochelle Mercedes Garza,35
10,LIB,Mark Ash,1
10,REP,Ken Paxton,420
11,DEM,Rochelle Mercedes Garza,5
11,LIB,Mark Ash,0
11,REP,Ken Paxton,69
12,DEM,Rochelle Mercedes Garza,98
12,LIB,Mark Ash,17
12,REP,Ken Paxton,576
13,DEM,Rochelle Mercedes Garza,42
13,LIB,Mark Ash,4
13,REP,Ken Paxton,240
14,DEM,Rochelle Mercedes Garza,6
14,LIB,Mark Ash,2
14,REP,Ken Paxton,59
15,DEM,Rochelle Mercedes Garza,85
15,LIB,Mark Ash,11
15,REP,Ken Paxton,390
5,DEM,Rochelle Mercedes Garza,9
5,LIB,Mark Ash,1
5,REP,Ken Paxton,61
6,DEM,Rochelle Mercedes Garza,14
6,LIB,Mark Ash,1
6,REP,Ken Paxton,188
7,DEM,Rochelle Mercedes Garza,113
7,LIB,Mark Ash,19
7,REP,Ken Paxton,913
8,DEM,Rochelle Mercedes Garza,57
8,LIB,Mark Ash,9
8,REP,Ken Paxton,348
9,DEM,Rochelle Mercedes Garza,16
9,LIB,Mark Ash,5
9,REP,Ken Paxton,272
