precinct,party,candidate,votes
1,,Over Votes,0
1,,Under Votes,3
1,DEM,Cody J. Grace,70
1,REP,Matt Schaefer,52
11,,Over Votes,0
11,,Under Votes,13
11,DEM,Cody J. Grace,420
11,REP,Matt Schaefer,133
12,,Over Votes,0
12,,Under Votes,12
12,DEM,Cody J. Grace,447
12,REP,Matt Schaefer,89
13,,Over Votes,0
13,,Under Votes,12
13,DEM,Cody J. Grace,500
13,REP,Matt Schaefer,31
16,,Over Votes,0
16,,Under Votes,13
16,DEM,Cody J. Grace,378
16,REP,Matt Schaefer,72
18,,Over Votes,0
18,,Under Votes,11
18,DEM,Cody J. Grace,373
18,REP,Matt Schaefer,56
2,,Over Votes,0
2,,Under Votes,2
2,DEM,Cody J. Grace,147
2,REP,Matt Schaefer,47
20,,Over Votes,0
20,,Under Votes,10
20,DEM,Cody J. Grace,106
20,REP,Matt Schaefer,65
21,,Over Votes,0
21,,Under Votes,23
21,DEM,Cody J. Grace,230
21,REP,Matt Schaefer,692
22,,Over Votes,0
22,,Under Votes,2
22,DEM,Cody J. Grace,60
22,REP,Matt Schaefer,44
23,,Over Votes,0
23,,Under Votes,20
23,DEM,Cody J. Grace,331
23,REP,Matt Schaefer,777
24,,Over Votes,0
24,,Under Votes,20
24,DEM,Cody J. Grace,169
24,REP,Matt Schaefer,1046
25,,Over Votes,0
25,,Under Votes,25
25,DEM,Cody J. Grace,288
25,REP,Matt Schaefer,931
26,,Over Votes,0
26,,Under Votes,17
26,DEM,Cody J. Grace,224
26,REP,Matt Schaefer,1336
27,,Over Votes,0
27,,Under Votes,24
27,DEM,Cody J. Grace,271
27,REP,Matt Schaefer,562
28,,Over Votes,0
28,,Under Votes,33
28,DEM,Cody J. Grace,316
28,REP,Matt Schaefer,1741
29,,Over Votes,0
29,,Under Votes,13
29,DEM,Cody J. Grace,177
29,REP,Matt Schaefer,725
3,,Over Votes,0
3,,Under Votes,33
3,DEM,Cody J. Grace,397
3,REP,Matt Schaefer,974
30,,Over Votes,0
30,,Under Votes,39
30,DEM,Cody J. Grace,379
30,REP,Matt Schaefer,1937
31,,Over Votes,0
31,,Under Votes,32
31,DEM,Cody J. Grace,246
31,REP,Matt Schaefer,1658
32,,Over Votes,0
32,,Under Votes,5
32,DEM,Cody J. Grace,102
32,REP,Matt Schaefer,214
33,,Over Votes,0
33,,Under Votes,15
33,DEM,Cody J. Grace,105
33,REP,Matt Schaefer,488
34,,Over Votes,0
34,,Under Votes,7
34,DEM,Cody J. Grace,400
34,REP,Matt Schaefer,130
35,,Over Votes,0
35,,Under Votes,26
35,DEM,Cody J. Grace,599
35,REP,Matt Schaefer,581
36,,Over Votes,0
36,,Under Votes,28
36,DEM,Cody J. Grace,734
36,REP,Matt Schaefer,244
37,,Over Votes,0
37,,Under Votes,13
37,DEM,Cody J. Grace,187
37,REP,Matt Schaefer,944
38,,Over Votes,0
38,,Under Votes,29
38,DEM,Cody J. Grace,361
38,REP,Matt Schaefer,866
39,,Over Votes,0
39,,Under Votes,3
39,DEM,Cody J. Grace,102
39,REP,Matt Schaefer,65
40,,Over Votes,0
40,,Under Votes,46
40,DEM,Cody J. Grace,401
40,REP,Matt Schaefer,2028
41,,Over Votes,0
41,,Under Votes,31
41,DEM,Cody J. Grace,340
41,REP,Matt Schaefer,2231
42,,Over Votes,0
42,,Under Votes,39
42,DEM,Cody J. Grace,428
42,REP,Matt Schaefer,2081
43,,Over Votes,0
43,,Under Votes,25
43,DEM,Cody J. Grace,247
43,REP,Matt Schaefer,506
44,,Over Votes,0
44,,Under Votes,25
44,DEM,Cody J. Grace,622
44,REP,Matt Schaefer,1259
45,,Over Votes,0
45,,Under Votes,14
45,DEM,Cody J. Grace,148
45,REP,Matt Schaefer,1163
48,,Over Votes,0
48,,Under Votes,12
48,DEM,Cody J. Grace,135
48,REP,Matt Schaefer,197
50,,Over Votes,0
50,,Under Votes,30
50,DEM,Cody J. Grace,309
50,REP,Matt Schaefer,1040
51,,Over Votes,0
51,,Under Votes,36
51,DEM,Cody J. Grace,422
51,REP,Matt Schaefer,1210
52,,Over Votes,0
52,,Under Votes,25
52,DEM,Cody J. Grace,188
52,REP,Matt Schaefer,1315
54,,Over Votes,0
54,,Under Votes,42
54,DEM,Cody J. Grace,429
54,REP,Matt Schaefer,1230
55,,Over Votes,0
55,,Under Votes,14
55,DEM,Cody J. Grace,326
55,REP,Matt Schaefer,438
56,,Over Votes,0
56,,Under Votes,34
56,DEM,Cody J. Grace,445
56,REP,Matt Schaefer,1423
57,,Over Votes,0
57,,Under Votes,13
57,DEM,Cody J. Grace,90
57,REP,Matt Schaefer,379
58,,Over Votes,0
58,,Under Votes,55
58,DEM,Cody J. Grace,520
58,REP,Matt Schaefer,1794
59,,Over Votes,0
59,,Under Votes,26
59,DEM,Cody J. Grace,461
59,REP,Matt Schaefer,1608
60,,Over Votes,0
60,,Under Votes,6
60,DEM,Cody J. Grace,73
60,REP,Matt Schaefer,98
61,,Over Votes,0
61,,Under Votes,28
61,DEM,Cody J. Grace,439
61,REP,Matt Schaefer,567
66,,Over Votes,0
66,,Under Votes,15
66,DEM,Cody J. Grace,130
66,REP,Matt Schaefer,207
71,,Over Votes,0
71,,Under Votes,36
71,DEM,Cody J. Grace,482
71,REP,Matt Schaefer,2170
73,,Over Votes,0
73,,Under Votes,8
73,DEM,Cody J. Grace,105
73,REP,Matt Schaefer,184
74,,Over Votes,0
74,,Under Votes,11
74,DEM,Cody J. Grace,88
74,REP,Matt Schaefer,331
75,,Over Votes,0
75,,Under Votes,41
75,DEM,Cody J. Grace,212
75,REP,Matt Schaefer,1807
76,,Over Votes,0
76,,Under Votes,7
76,DEM,Cody J. Grace,136
76,REP,Matt Schaefer,69
77,,Over Votes,0
77,,Under Votes,7
77,DEM,Cody J. Grace,115
77,REP,Matt Schaefer,198
79,,Over Votes,0
79,,Under Votes,33
79,DEM,Cody J. Grace,423
79,REP,Matt Schaefer,1726
81,,Over Votes,0
81,,Under Votes,2
81,DEM,Cody J. Grace,63
81,REP,Matt Schaefer,44
82,,Over Votes,0
82,,Under Votes,1
82,DEM,Cody J. Grace,6
82,REP,Matt Schaefer,6
9,,Over Votes,0
9,,Under Votes,0
9,DEM,Cody J. Grace,73
9,REP,Matt Schaefer,32
