precinct,party,candidate,votes
1,DEM,Staci Williams,831
1,REP,Jeff Boyd,472
10,DEM,Staci Williams,1712
10,REP,Jeff Boyd,1172
2,DEM,Staci Williams,1112
2,REP,Jeff Boyd,725
3,DEM,Staci Williams,481
3,REP,Jeff Boyd,266
4,DEM,Staci Williams,170
4,REP,Jeff Boyd,169
5,DEM,Staci Williams,32
5,REP,Jeff Boyd,27
6,DEM,Staci Williams,2024
6,REP,Jeff Boyd,1014
7,DEM,Staci Williams,243
7,REP,Jeff Boyd,106
8,DEM,Staci Williams,775
8,REP,Jeff Boyd,475
9,DEM,Staci Williams,983
9,REP,Jeff Boyd,670
