precinct,party,candidate,votes
1-11,DEM,Elizabeth Davis Frizell,66
1-11,REP,Bert Richardson,600
2-11,DEM,Elizabeth Davis Frizell,90
2-11,REP,Bert Richardson,766
2-19,DEM,Elizabeth Davis Frizell,7
2-19,REP,Bert Richardson,156
3-11,DEM,Elizabeth Davis Frizell,72
3-11,REP,Bert Richardson,301
3-19,DEM,Elizabeth Davis Frizell,28
3-19,REP,Bert Richardson,306
4-11,DEM,Elizabeth Davis Frizell,42
4-11,REP,Bert Richardson,368
4-19,DEM,Elizabeth Davis Frizell,49
4-19,REP,Bert Richardson,579
5-11,DEM,Elizabeth Davis Frizell,10
5-11,REP,Bert Richardson,226
