precinct,party,candidate,votes
1,DEM,Luke Warford,27
1,GRN,Hunter Wayne Crow,1
1,LIB,Jaime Andres Diez,6
1,REP,Wayne Christian,206
11,DEM,Luke Warford,20
11,GRN,Hunter Wayne Crow,0
11,LIB,Jaime Andres Diez,4
11,REP,Wayne Christian,121
2,DEM,Luke Warford,64
2,GRN,Hunter Wayne Crow,2
2,LIB,Jaime Andres Diez,13
2,REP,Wayne Christian,296
3,DEM,Luke Warford,51
3,GRN,Hunter Wayne Crow,1
3,LIB,Jaime Andres Diez,5
3,REP,Wayne Christian,303
4,DEM,Luke Warford,22
4,GRN,Hunter Wayne Crow,2
4,LIB,Jaime Andres Diez,6
4,REP,Wayne Christian,85
6,DEM,Luke Warford,21
6,GRN,Hunter Wayne Crow,1
6,LIB,Jaime Andres Diez,2
6,REP,Wayne Christian,117
7,DEM,Luke Warford,26
7,GRN,Hunter Wayne Crow,3
7,LIB,Jaime Andres Diez,5
7,REP,Wayne Christian,211
9,DEM,Luke Warford,5
9,GRN,Hunter Wayne Crow,0
9,LIB,Jaime Andres Diez,0
9,REP,Wayne Christian,15
