precinct,party,candidate,votes
1001,DEM,Lesa Pamplin,467
1001,REP,Brad Clark,462
1004,DEM,Lesa Pamplin,576
1004,REP,Brad Clark,550
1005,DEM,Lesa Pamplin,245
1005,REP,Brad Clark,16
1008,DEM,Lesa Pamplin,86
1008,REP,Brad Clark,16
1009,DEM,Lesa Pamplin,288
1009,REP,Brad Clark,494
1010,DEM,Lesa Pamplin,73
1010,REP,Brad Clark,30
1011,DEM,Lesa Pamplin,215
1011,REP,Brad Clark,34
1012,DEM,Lesa Pamplin,674
1012,REP,Brad Clark,368
1013,DEM,Lesa Pamplin,734
1013,REP,Brad Clark,131
1014,DEM,Lesa Pamplin,139
1014,REP,Brad Clark,107
1015,DEM,Lesa Pamplin,310
1015,REP,Brad Clark,174
1019,DEM,Lesa Pamplin,129
1019,REP,Brad Clark,74
1021,DEM,Lesa Pamplin,540
1021,REP,Brad Clark,1076
1022,DEM,Lesa Pamplin,312
1022,REP,Brad Clark,354
1023,DEM,Lesa Pamplin,1019
1023,REP,Brad Clark,862
1024,DEM,Lesa Pamplin,681
1024,REP,Brad Clark,1044
1025,DEM,Lesa Pamplin,491
1025,REP,Brad Clark,269
1034,DEM,Lesa Pamplin,400
1034,REP,Brad Clark,1485
1056,DEM,Lesa Pamplin,78
1056,REP,Brad Clark,24
1059,DEM,Lesa Pamplin,193
1059,REP,Brad Clark,47
1061,DEM,Lesa Pamplin,90
1061,REP,Brad Clark,24
1062,DEM,Lesa Pamplin,11
1062,REP,Brad Clark,4
1064,DEM,Lesa Pamplin,0
1064,REP,Brad Clark,0
1066,DEM,Lesa Pamplin,229
1066,REP,Brad Clark,105
1071,DEM,Lesa Pamplin,500
1071,REP,Brad Clark,246
1074,DEM,Lesa Pamplin,183
1074,REP,Brad Clark,37
1075,DEM,Lesa Pamplin,157
1075,REP,Brad Clark,57
1076,DEM,Lesa Pamplin,404
1076,REP,Brad Clark,297
1078,DEM,Lesa Pamplin,267
1078,REP,Brad Clark,37
1079,DEM,Lesa Pamplin,334
1079,REP,Brad Clark,32
1080,DEM,Lesa Pamplin,327
1080,REP,Brad Clark,22
1081,DEM,Lesa Pamplin,137
1081,REP,Brad Clark,231
1082,DEM,Lesa Pamplin,137
1082,REP,Brad Clark,86
1083,DEM,Lesa Pamplin,258
1083,REP,Brad Clark,59
1084,DEM,Lesa Pamplin,0
1084,REP,Brad Clark,0
1085,DEM,Lesa Pamplin,139
1085,REP,Brad Clark,115
1088,DEM,Lesa Pamplin,282
1088,REP,Brad Clark,82
1089,DEM,Lesa Pamplin,421
1089,REP,Brad Clark,31
1090,DEM,Lesa Pamplin,345
1090,REP,Brad Clark,46
1094,DEM,Lesa Pamplin,503
1094,REP,Brad Clark,220
1095,DEM,Lesa Pamplin,202
1095,REP,Brad Clark,326
1098,DEM,Lesa Pamplin,402
1098,REP,Brad Clark,58
1099,DEM,Lesa Pamplin,186
1099,REP,Brad Clark,59
1103,DEM,Lesa Pamplin,343
1103,REP,Brad Clark,668
1104,DEM,Lesa Pamplin,872
1104,REP,Brad Clark,92
1105,DEM,Lesa Pamplin,470
1105,REP,Brad Clark,508
1106,DEM,Lesa Pamplin,665
1106,REP,Brad Clark,37
1108,DEM,Lesa Pamplin,555
1108,REP,Brad Clark,461
1109,DEM,Lesa Pamplin,338
1109,REP,Brad Clark,186
1111,DEM,Lesa Pamplin,668
1111,REP,Brad Clark,1991
1117,DEM,Lesa Pamplin,533
1117,REP,Brad Clark,616
1119,DEM,Lesa Pamplin,1090
1119,REP,Brad Clark,596
1120,DEM,Lesa Pamplin,948
1120,REP,Brad Clark,76
1126,DEM,Lesa Pamplin,574
1126,REP,Brad Clark,266
1127,DEM,Lesa Pamplin,521
1127,REP,Brad Clark,37
1132,DEM,Lesa Pamplin,435
1132,REP,Brad Clark,30
1133,DEM,Lesa Pamplin,568
1133,REP,Brad Clark,419
1142,DEM,Lesa Pamplin,354
1142,REP,Brad Clark,340
1146,DEM,Lesa Pamplin,827
1146,REP,Brad Clark,422
1149,DEM,Lesa Pamplin,688
1149,REP,Brad Clark,190
1150,DEM,Lesa Pamplin,438
1150,REP,Brad Clark,160
1151,DEM,Lesa Pamplin,331
1151,REP,Brad Clark,217
1153,DEM,Lesa Pamplin,620
1153,REP,Brad Clark,53
1154,DEM,Lesa Pamplin,168
1154,REP,Brad Clark,47
1165,DEM,Lesa Pamplin,85
1165,REP,Brad Clark,47
1167,DEM,Lesa Pamplin,412
1167,REP,Brad Clark,367
1170,DEM,Lesa Pamplin,839
1170,REP,Brad Clark,456
1175,DEM,Lesa Pamplin,573
1175,REP,Brad Clark,440
1184,DEM,Lesa Pamplin,202
1184,REP,Brad Clark,180
1186,DEM,Lesa Pamplin,407
1186,REP,Brad Clark,596
1188,DEM,Lesa Pamplin,194
1188,REP,Brad Clark,13
1189,DEM,Lesa Pamplin,677
1189,REP,Brad Clark,599
1197,DEM,Lesa Pamplin,1036
1197,REP,Brad Clark,998
1198,DEM,Lesa Pamplin,76
1198,REP,Brad Clark,70
1199,DEM,Lesa Pamplin,111
1199,REP,Brad Clark,163
1206,DEM,Lesa Pamplin,464
1206,REP,Brad Clark,936
1207,DEM,Lesa Pamplin,634
1207,REP,Brad Clark,526
1208,DEM,Lesa Pamplin,372
1208,REP,Brad Clark,974
1211,DEM,Lesa Pamplin,650
1211,REP,Brad Clark,61
1227,DEM,Lesa Pamplin,404
1227,REP,Brad Clark,179
1236,DEM,Lesa Pamplin,208
1236,REP,Brad Clark,130
1237,DEM,Lesa Pamplin,159
1237,REP,Brad Clark,94
1238,DEM,Lesa Pamplin,798
1238,REP,Brad Clark,443
1241,DEM,Lesa Pamplin,47
1241,REP,Brad Clark,25
1244,DEM,Lesa Pamplin,26
1244,REP,Brad Clark,65
1251,DEM,Lesa Pamplin,844
1251,REP,Brad Clark,185
1255,DEM,Lesa Pamplin,961
1255,REP,Brad Clark,465
1257,DEM,Lesa Pamplin,412
1257,REP,Brad Clark,242
1264,DEM,Lesa Pamplin,459
1264,REP,Brad Clark,500
1265,DEM,Lesa Pamplin,593
1265,REP,Brad Clark,460
1270,DEM,Lesa Pamplin,144
1270,REP,Brad Clark,125
1271,DEM,Lesa Pamplin,370
1271,REP,Brad Clark,1071
1273,DEM,Lesa Pamplin,507
1273,REP,Brad Clark,298
1277,DEM,Lesa Pamplin,420
1277,REP,Brad Clark,353
1278,DEM,Lesa Pamplin,702
1278,REP,Brad Clark,152
1279,DEM,Lesa Pamplin,698
1279,REP,Brad Clark,251
1291,DEM,Lesa Pamplin,697
1291,REP,Brad Clark,52
1292,DEM,Lesa Pamplin,439
1292,REP,Brad Clark,141
1293,DEM,Lesa Pamplin,393
1293,REP,Brad Clark,91
1294,DEM,Lesa Pamplin,580
1294,REP,Brad Clark,918
1295,DEM,Lesa Pamplin,199
1295,REP,Brad Clark,126
1296,DEM,Lesa Pamplin,648
1296,REP,Brad Clark,867
1297,DEM,Lesa Pamplin,862
1297,REP,Brad Clark,52
1298,DEM,Lesa Pamplin,631
1298,REP,Brad Clark,558
1300,DEM,Lesa Pamplin,701
1300,REP,Brad Clark,362
1301,DEM,Lesa Pamplin,704
1301,REP,Brad Clark,147
1311,DEM,Lesa Pamplin,675
1311,REP,Brad Clark,209
1337,DEM,Lesa Pamplin,541
1337,REP,Brad Clark,1073
1339,DEM,Lesa Pamplin,610
1339,REP,Brad Clark,845
1345,DEM,Lesa Pamplin,146
1345,REP,Brad Clark,136
1346,DEM,Lesa Pamplin,234
1346,REP,Brad Clark,26
1347,DEM,Lesa Pamplin,1139
1347,REP,Brad Clark,796
1348,DEM,Lesa Pamplin,158
1348,REP,Brad Clark,502
1351,DEM,Lesa Pamplin,0
1351,REP,Brad Clark,0
1352,DEM,Lesa Pamplin,102
1352,REP,Brad Clark,258
1366,DEM,Lesa Pamplin,0
1366,REP,Brad Clark,6
1376,DEM,Lesa Pamplin,2
1376,REP,Brad Clark,5
1377,DEM,Lesa Pamplin,967
1377,REP,Brad Clark,949
1378,DEM,Lesa Pamplin,1037
1378,REP,Brad Clark,365
1380,DEM,Lesa Pamplin,391
1380,REP,Brad Clark,316
1382,DEM,Lesa Pamplin,637
1382,REP,Brad Clark,189
1388,DEM,Lesa Pamplin,810
1388,REP,Brad Clark,405
1394,DEM,Lesa Pamplin,0
1394,REP,Brad Clark,0
1404,DEM,Lesa Pamplin,632
1404,REP,Brad Clark,245
1407,DEM,Lesa Pamplin,18
1407,REP,Brad Clark,9
1408,DEM,Lesa Pamplin,82
1408,REP,Brad Clark,42
1412,DEM,Lesa Pamplin,0
1412,REP,Brad Clark,0
1414,DEM,Lesa Pamplin,19
1414,REP,Brad Clark,1
1415,DEM,Lesa Pamplin,334
1415,REP,Brad Clark,117
1416,DEM,Lesa Pamplin,52
1416,REP,Brad Clark,42
1418,DEM,Lesa Pamplin,0
1418,REP,Brad Clark,0
1420,DEM,Lesa Pamplin,0
1420,REP,Brad Clark,0
1423,DEM,Lesa Pamplin,513
1423,REP,Brad Clark,1238
1424,DEM,Lesa Pamplin,0
1424,REP,Brad Clark,6
1427,DEM,Lesa Pamplin,1
1427,REP,Brad Clark,1
1430,DEM,Lesa Pamplin,2
1430,REP,Brad Clark,1
1431,DEM,Lesa Pamplin,307
1431,REP,Brad Clark,841
1434,DEM,Lesa Pamplin,0
1434,REP,Brad Clark,0
1436,DEM,Lesa Pamplin,410
1436,REP,Brad Clark,204
1437,DEM,Lesa Pamplin,163
1437,REP,Brad Clark,186
1439,DEM,Lesa Pamplin,56
1439,REP,Brad Clark,10
1440,DEM,Lesa Pamplin,581
1440,REP,Brad Clark,199
1441,DEM,Lesa Pamplin,125
1441,REP,Brad Clark,37
1444,DEM,Lesa Pamplin,42
1444,REP,Brad Clark,12
1445,DEM,Lesa Pamplin,15
1445,REP,Brad Clark,4
1455,DEM,Lesa Pamplin,0
1455,REP,Brad Clark,1
1457,DEM,Lesa Pamplin,1
1457,REP,Brad Clark,0
1459,DEM,Lesa Pamplin,568
1459,REP,Brad Clark,187
1460,DEM,Lesa Pamplin,679
1460,REP,Brad Clark,236
1463,DEM,Lesa Pamplin,433
1463,REP,Brad Clark,153
1472,DEM,Lesa Pamplin,57
1472,REP,Brad Clark,127
1473,DEM,Lesa Pamplin,65
1473,REP,Brad Clark,39
1476,DEM,Lesa Pamplin,23
1476,REP,Brad Clark,18
1477,DEM,Lesa Pamplin,238
1477,REP,Brad Clark,44
1479,DEM,Lesa Pamplin,56
1479,REP,Brad Clark,23
1481,DEM,Lesa Pamplin,96
1481,REP,Brad Clark,32
1482,DEM,Lesa Pamplin,154
1482,REP,Brad Clark,32
1489,DEM,Lesa Pamplin,632
1489,REP,Brad Clark,238
1490,DEM,Lesa Pamplin,142
1490,REP,Brad Clark,77
1491,DEM,Lesa Pamplin,2
1491,REP,Brad Clark,0
1501,DEM,Lesa Pamplin,131
1501,REP,Brad Clark,81
1504,DEM,Lesa Pamplin,200
1504,REP,Brad Clark,908
1514,DEM,Lesa Pamplin,0
1514,REP,Brad Clark,0
1515,DEM,Lesa Pamplin,4
1515,REP,Brad Clark,9
1518,DEM,Lesa Pamplin,213
1518,REP,Brad Clark,57
1543,DEM,Lesa Pamplin,277
1543,REP,Brad Clark,60
1544,DEM,Lesa Pamplin,4
1544,REP,Brad Clark,0
1547,DEM,Lesa Pamplin,0
1547,REP,Brad Clark,0
1549,DEM,Lesa Pamplin,0
1549,REP,Brad Clark,0
1550,DEM,Lesa Pamplin,13
1550,REP,Brad Clark,1
1555,DEM,Lesa Pamplin,0
1555,REP,Brad Clark,1
1559,DEM,Lesa Pamplin,61
1559,REP,Brad Clark,20
1564,DEM,Lesa Pamplin,0
1564,REP,Brad Clark,0
1576,DEM,Lesa Pamplin,48
1576,REP,Brad Clark,7
1577,DEM,Lesa Pamplin,299
1577,REP,Brad Clark,61
1578,DEM,Lesa Pamplin,381
1578,REP,Brad Clark,149
1586,DEM,Lesa Pamplin,2
1586,REP,Brad Clark,1
1589,DEM,Lesa Pamplin,50
1589,REP,Brad Clark,44
1594,DEM,Lesa Pamplin,0
1594,REP,Brad Clark,0
1597,DEM,Lesa Pamplin,118
1597,REP,Brad Clark,26
1603,DEM,Lesa Pamplin,52
1603,REP,Brad Clark,24
1605,DEM,Lesa Pamplin,0
1605,REP,Brad Clark,0
1607,DEM,Lesa Pamplin,0
1607,REP,Brad Clark,0
1608,DEM,Lesa Pamplin,354
1608,REP,Brad Clark,227
1610,DEM,Lesa Pamplin,12
1610,REP,Brad Clark,15
1611,DEM,Lesa Pamplin,4
1611,REP,Brad Clark,3
1617,DEM,Lesa Pamplin,10
1617,REP,Brad Clark,9
1619,DEM,Lesa Pamplin,6
1619,REP,Brad Clark,2
