precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
101,109,843,1943,64,3356,6315,1.73%,13.35%,30.77%,1.01%,53.14%
102,70,313,1241,63,2657,4344,1.61%,7.21%,28.57%,1.45%,61.16%
103,86,541,1328,84,2626,4665,1.84%,11.60%,28.47%,1.80%,56.29%
104,59,146,370,67,2639,3281,1.80%,4.45%,11.28%,2.04%,80.43%
105,562,1328,1769,76,4089,7824,7.18%,16.97%,22.61%,0.97%,52.26%
106,284,739,1086,54,2671,4834,5.88%,15.29%,22.47%,1.12%,55.25%
107,7,44,282,51,833,1217,0.58%,3.62%,23.17%,4.19%,68.45%
108,29,54,211,59,1394,1747,1.66%,3.09%,12.08%,3.38%,79.79%
109,1,13,31,19,357,421,0.24%,3.09%,7.36%,4.51%,84.80%
110,0,0,3,7,119,129,0.00%,0.00%,2.33%,5.43%,92.25%
201,62,469,2068,39,1453,4091,1.52%,11.46%,50.55%,0.95%,35.52%
202,61,723,4315,0,2210,7302,0.84%,9.90%,59.09%,0.00%,30.27%
203,106,1123,2192,5,2199,5625,1.88%,19.96%,38.97%,0.09%,39.09%
204,121,290,567,70,1945,2993,4.04%,9.69%,18.94%,2.34%,64.98%
205,161,1396,2689,56,2981,7283,2.21%,19.17%,36.92%,0.77%,40.93%
206,18,62,753,119,3108,4060,0.44%,1.53%,18.55%,2.93%,76.55%
207,13,9,76,15,403,516,2.52%,1.74%,14.73%,2.91%,78.10%
301,169,600,1322,47,3143,5281,3.20%,11.36%,25.03%,0.89%,59.52%
302,89,255,730,51,2565,3690,2.41%,6.91%,19.78%,1.38%,69.51%
303,8,26,280,93,2453,2860,0.28%,0.91%,9.79%,3.25%,85.77%
304,433,549,930,73,3112,5097,8.50%,10.77%,18.25%,1.43%,61.06%
305,134,259,583,77,2911,3964,3.38%,6.53%,14.71%,1.94%,73.44%
306,436,462,1022,143,5601,7664,5.69%,6.03%,13.34%,1.87%,73.08%
307,430,473,1379,158,7092,9532,4.51%,4.96%,14.47%,1.66%,74.40%
308,29,50,214,58,2033,2384,1.22%,2.10%,8.98%,2.43%,85.28%
401,43,450,910,42,1720,3165,1.36%,14.22%,28.75%,1.33%,54.34%
402,151,665,963,105,4081,5965,2.53%,11.15%,16.14%,1.76%,68.42%
403,169,904,881,35,2767,4756,3.55%,19.01%,18.52%,0.74%,58.18%
404,55,311,1342,49,2242,3999,1.38%,7.78%,33.56%,1.23%,56.06%
405,68,322,1071,35,1857,3353,2.03%,9.60%,31.94%,1.04%,55.38%
406,89,869,993,49,3732,5732,1.55%,15.16%,17.32%,0.85%,65.11%
407,106,188,393,68,1509,2264,4.68%,8.30%,17.36%,3.00%,66.65%
408,132,146,672,189,4438,5577,2.37%,2.62%,12.05%,3.39%,79.58%
409,9,33,147,69,1020,1278,0.70%,2.58%,11.50%,5.40%,79.81%
