precinct,party,candidate,votes
101,DEM,Kathy Cheng,739
101,REP,Jane Bland,1650
102,DEM,Kathy Cheng,453
102,REP,Jane Bland,1143
103,DEM,Kathy Cheng,471
103,REP,Jane Bland,1191
104,DEM,Kathy Cheng,379
104,REP,Jane Bland,1512
105,DEM,Kathy Cheng,730
105,REP,Jane Bland,1386
106,DEM,Kathy Cheng,298
106,REP,Jane Bland,458
107,DEM,Kathy Cheng,70
107,REP,Jane Bland,350
108,DEM,Kathy Cheng,96
108,REP,Jane Bland,885
109,DEM,Kathy Cheng,18
109,REP,Jane Bland,177
110,DEM,Kathy Cheng,6
110,REP,Jane Bland,69
201,DEM,Kathy Cheng,333
201,REP,Jane Bland,509
202,DEM,Kathy Cheng,638
202,REP,Jane Bland,847
203,DEM,Kathy Cheng,577
203,REP,Jane Bland,932
204,DEM,Kathy Cheng,299
204,REP,Jane Bland,978
205,DEM,Kathy Cheng,697
205,REP,Jane Bland,1083
206,DEM,Kathy Cheng,231
206,REP,Jane Bland,1506
207,DEM,Kathy Cheng,28
207,REP,Jane Bland,200
301,DEM,Kathy Cheng,490
301,REP,Jane Bland,1197
302,DEM,Kathy Cheng,376
302,REP,Jane Bland,1302
303,DEM,Kathy Cheng,105
303,REP,Jane Bland,1500
304,DEM,Kathy Cheng,541
304,REP,Jane Bland,1364
305,DEM,Kathy Cheng,405
305,REP,Jane Bland,1790
306,DEM,Kathy Cheng,634
306,REP,Jane Bland,3083
307,DEM,Kathy Cheng,769
307,REP,Jane Bland,3820
308,DEM,Kathy Cheng,174
308,REP,Jane Bland,1249
401,DEM,Kathy Cheng,271
401,REP,Jane Bland,438
402,DEM,Kathy Cheng,733
402,REP,Jane Bland,1554
403,DEM,Kathy Cheng,534
403,REP,Jane Bland,974
404,DEM,Kathy Cheng,490
404,REP,Jane Bland,876
405,DEM,Kathy Cheng,332
405,REP,Jane Bland,755
406,DEM,Kathy Cheng,535
406,REP,Jane Bland,1675
407,DEM,Kathy Cheng,186
407,REP,Jane Bland,677
408,DEM,Kathy Cheng,355
408,REP,Jane Bland,2820
409,DEM,Kathy Cheng,51
409,REP,Jane Bland,652
