precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
1,13,404,925,6,141,1489,0.87%,27.13%,62.12%,0.40%,9.47%
2,13,168,365,14,472,1032,1.26%,16.28%,35.37%,1.36%,45.74%
3,6,102,303,28,657,1096,0.55%,9.31%,27.65%,2.55%,59.95%
4,4,20,208,30,631,893,0.45%,2.24%,23.29%,3.36%,70.66%
5,0,6,28,12,321,367,0.00%,1.63%,7.63%,3.27%,87.47%
6,14,120,607,72,1154,1967,0.71%,6.10%,30.86%,3.66%,58.67%
7,20,169,484,40,1188,1901,1.05%,8.89%,25.46%,2.10%,62.49%
8,20,448,2488,16,495,3467,0.58%,12.92%,71.76%,0.46%,14.28%
9,4,108,214,42,525,893,0.45%,12.09%,23.96%,4.70%,58.79%
10,8,28,305,40,1045,1426,0.56%,1.96%,21.39%,2.81%,73.28%
11,6,11,430,4,171,622,0.96%,1.77%,69.13%,0.64%,27.49%
12,3,14,182,10,278,487,0.62%,2.87%,37.37%,2.05%,57.08%
14,32,538,1784,40,1186,3580,0.89%,15.03%,49.83%,1.12%,33.13%
15,16,88,738,30,856,1728,0.93%,5.09%,42.71%,1.74%,49.54%
16,53,463,1500,37,2230,4283,1.24%,10.81%,35.02%,0.86%,52.07%
17,25,203,1090,0,216,1520,1.64%,13.36%,71.71%,0.00%,14.21%
18,14,18,255,10,190,487,2.87%,3.70%,52.36%,2.05%,39.01%
19,6,175,872,23,594,1670,0.36%,10.48%,52.22%,1.38%,35.57%
20,72,264,902,41,1060,2339,3.08%,11.29%,38.56%,1.75%,45.32%
