precinct,party,candidate,votes
404,,"Adolphus ""Andy"" Anderson",1
404,,John Mckiernan-Gonzalez,0
404,,Ofelia Maldonado Zapata,0
407,,"Adolphus ""Andy"" Anderson",20
407,,John Mckiernan-Gonzalez,59
407,,Ofelia Maldonado Zapata,129
409,,"Adolphus ""Andy"" Anderson",165
409,,John Mckiernan-Gonzalez,379
409,,Ofelia Maldonado Zapata,635
413,,"Adolphus ""Andy"" Anderson",25
413,,John Mckiernan-Gonzalez,37
413,,Ofelia Maldonado Zapata,125
420,,"Adolphus ""Andy"" Anderson",207
420,,John Mckiernan-Gonzalez,468
420,,Ofelia Maldonado Zapata,947
423,,"Adolphus ""Andy"" Anderson",74
423,,John Mckiernan-Gonzalez,156
423,,Ofelia Maldonado Zapata,553
424,,"Adolphus ""Andy"" Anderson",61
424,,John Mckiernan-Gonzalez,180
424,,Ofelia Maldonado Zapata,346
426,,"Adolphus ""Andy"" Anderson",142
426,,John Mckiernan-Gonzalez,548
426,,Ofelia Maldonado Zapata,955
427,,"Adolphus ""Andy"" Anderson",141
427,,John Mckiernan-Gonzalez,417
427,,Ofelia Maldonado Zapata,782
429,,"Adolphus ""Andy"" Anderson",229
429,,John Mckiernan-Gonzalez,499
429,,Ofelia Maldonado Zapata,1008
431,,"Adolphus ""Andy"" Anderson",176
431,,John Mckiernan-Gonzalez,404
431,,Ofelia Maldonado Zapata,1000
433,,"Adolphus ""Andy"" Anderson",85
433,,John Mckiernan-Gonzalez,201
433,,Ofelia Maldonado Zapata,354
438,,"Adolphus ""Andy"" Anderson",112
438,,John Mckiernan-Gonzalez,318
438,,Ofelia Maldonado Zapata,548
439,,"Adolphus ""Andy"" Anderson",214
439,,John Mckiernan-Gonzalez,646
439,,Ofelia Maldonado Zapata,1263
440,,"Adolphus ""Andy"" Anderson",97
440,,John Mckiernan-Gonzalez,174
440,,Ofelia Maldonado Zapata,371
441,,"Adolphus ""Andy"" Anderson",181
441,,John Mckiernan-Gonzalez,429
441,,Ofelia Maldonado Zapata,845
442,,"Adolphus ""Andy"" Anderson",116
442,,John Mckiernan-Gonzalez,233
442,,Ofelia Maldonado Zapata,484
443,,"Adolphus ""Andy"" Anderson",192
443,,John Mckiernan-Gonzalez,468
443,,Ofelia Maldonado Zapata,1303
448,,"Adolphus ""Andy"" Anderson",186
448,,John Mckiernan-Gonzalez,429
448,,Ofelia Maldonado Zapata,1003
450,,"Adolphus ""Andy"" Anderson",192
450,,John Mckiernan-Gonzalez,424
450,,Ofelia Maldonado Zapata,1146
452,,"Adolphus ""Andy"" Anderson",144
452,,John Mckiernan-Gonzalez,297
452,,Ofelia Maldonado Zapata,810
