precinct,party,candidate,votes
111,,Cornell Woolridge,148
111,,Lacey Mase,107
111,,Mary Bone,142
207,,Cornell Woolridge,671
207,,Lacey Mase,736
207,,Mary Bone,792
215,,Cornell Woolridge,199
215,,Lacey Mase,167
215,,Mary Bone,173
216,,Cornell Woolridge,223
216,,Lacey Mase,231
216,,Mary Bone,241
219,,Cornell Woolridge,8
219,,Lacey Mase,5
219,,Mary Bone,4
225,,Cornell Woolridge,757
225,,Lacey Mase,800
225,,Mary Bone,892
229,,Cornell Woolridge,192
229,,Lacey Mase,198
229,,Mary Bone,241
254,,Cornell Woolridge,89
254,,Lacey Mase,115
254,,Mary Bone,122
326,,Cornell Woolridge,323
326,,Lacey Mase,308
326,,Mary Bone,680
327,,Cornell Woolridge,49
327,,Lacey Mase,38
327,,Mary Bone,78
328,,Cornell Woolridge,295
328,,Lacey Mase,280
328,,Mary Bone,391
331,,Cornell Woolridge,481
331,,Lacey Mase,411
331,,Mary Bone,689
333,,Cornell Woolridge,427
333,,Lacey Mase,414
333,,Mary Bone,670
334,,Cornell Woolridge,389
334,,Lacey Mase,525
334,,Mary Bone,914
335,,Cornell Woolridge,373
335,,Lacey Mase,443
335,,Mary Bone,676
336,,Cornell Woolridge,356
336,,Lacey Mase,319
336,,Mary Bone,662
337,,Cornell Woolridge,5
337,,Lacey Mase,0
337,,Mary Bone,3
