precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
1,5,48,82,24,750,909,0.55%,5.28%,9.02%,2.64%,82.51%
2,7,21,72,53,1052,1205,0.58%,1.74%,5.98%,4.40%,87.30%
3,3,10,18,29,596,656,0.46%,1.52%,2.74%,4.42%,90.85%
4,7,8,17,9,290,331,2.11%,2.42%,5.14%,2.72%,87.61%
5,13,127,201,5,389,735,1.77%,17.28%,27.35%,0.68%,52.93%
6,0,10,22,8,246,286,0.00%,3.50%,7.69%,2.80%,86.01%
7,1,7,13,12,217,250,0.40%,2.80%,5.20%,4.80%,86.80%
8,2,8,26,22,506,564,0.35%,1.42%,4.61%,3.90%,89.72%
9,4,36,44,10,650,744,0.54%,4.84%,5.91%,1.34%,87.37%
10,2,3,8,7,375,395,0.51%,0.76%,2.03%,1.77%,94.94%
11,17,87,188,85,1892,2269,0.75%,3.83%,8.29%,3.75%,83.38%
12,0,9,9,0,141,159,0.00%,5.66%,5.66%,0.00%,88.68%
14,6,20,58,37,743,864,0.69%,2.31%,6.71%,4.28%,86.00%
15,2,4,3,3,139,151,1.32%,2.65%,1.99%,1.99%,92.05%
16,2,162,73,11,569,817,0.24%,19.83%,8.94%,1.35%,69.65%
17,12,459,63,3,179,716,1.68%,64.11%,8.80%,0.42%,25.00%
18,1,74,14,4,47,140,0.71%,52.86%,10.00%,2.86%,33.57%
19,11,134,307,32,1191,1675,0.66%,8.00%,18.33%,1.91%,71.10%
20,0,21,2,4,57,84,0.00%,25.00%,2.38%,4.76%,67.86%
21,5,21,94,28,504,652,0.77%,3.22%,14.42%,4.29%,77.30%
