precinct,party,candidate,votes
1,DEM,Amy Clark Meachum,215
1,LIB,Mark Ash,24
1,REP,Nathan Hecht,1323
10,DEM,Amy Clark Meachum,172
10,LIB,Mark Ash,35
10,REP,Nathan Hecht,1421
11,DEM,Amy Clark Meachum,94
11,LIB,Mark Ash,13
11,REP,Nathan Hecht,380
12,DEM,Amy Clark Meachum,77
12,LIB,Mark Ash,9
12,REP,Nathan Hecht,655
13,DEM,Amy Clark Meachum,144
13,LIB,Mark Ash,8
13,REP,Nathan Hecht,491
14,DEM,Amy Clark Meachum,62
14,LIB,Mark Ash,7
14,REP,Nathan Hecht,301
15,DEM,Amy Clark Meachum,107
15,LIB,Mark Ash,29
15,REP,Nathan Hecht,1231
16,DEM,Amy Clark Meachum,226
16,LIB,Mark Ash,23
16,REP,Nathan Hecht,777
17,DEM,Amy Clark Meachum,364
17,LIB,Mark Ash,31
17,REP,Nathan Hecht,979
18,DEM,Amy Clark Meachum,127
18,LIB,Mark Ash,10
18,REP,Nathan Hecht,251
19,DEM,Amy Clark Meachum,3
19,LIB,Mark Ash,0
19,REP,Nathan Hecht,4
2,DEM,Amy Clark Meachum,115
2,LIB,Mark Ash,27
2,REP,Nathan Hecht,1561
20,DEM,Amy Clark Meachum,9
20,LIB,Mark Ash,2
20,REP,Nathan Hecht,99
21,DEM,Amy Clark Meachum,0
21,LIB,Mark Ash,0
21,REP,Nathan Hecht,0
3,DEM,Amy Clark Meachum,130
3,LIB,Mark Ash,11
3,REP,Nathan Hecht,918
4,DEM,Amy Clark Meachum,131
4,LIB,Mark Ash,27
4,REP,Nathan Hecht,686
5,DEM,Amy Clark Meachum,102
5,LIB,Mark Ash,6
5,REP,Nathan Hecht,392
6,DEM,Amy Clark Meachum,157
6,LIB,Mark Ash,16
6,REP,Nathan Hecht,871
7,DEM,Amy Clark Meachum,252
7,LIB,Mark Ash,26
7,REP,Nathan Hecht,1387
8,DEM,Amy Clark Meachum,103
8,LIB,Mark Ash,12
8,REP,Nathan Hecht,539
9,DEM,Amy Clark Meachum,220
9,LIB,Mark Ash,36
9,REP,Nathan Hecht,1072
