precinct,party,candidate,votes
1,,Over Votes,0
1,,Under Votes,1
1,,Write-in,0
1,DEM,Beto O'Rourke,22
1,GRN,Delilah Barrios,5
1,LIB,Mark Tippetts,5
1,REP,Greg Abbott,315
2,,Over Votes,0
2,,Under Votes,10
2,,Write-in,0
2,DEM,Beto O'Rourke,24
2,GRN,Delilah Barrios,2
2,LIB,Mark Tippetts,4
2,REP,Greg Abbott,207
3,,Over Votes,0
3,,Under Votes,4
3,,Write-in,0
3,DEM,Beto O'Rourke,33
3,GRN,Delilah Barrios,3
3,LIB,Mark Tippetts,3
3,REP,Greg Abbott,140
4,,Over Votes,0
4,,Under Votes,16
4,,Write-in,0
4,DEM,Beto O'Rourke,44
4,GRN,Delilah Barrios,4
4,LIB,Mark Tippetts,0
4,REP,Greg Abbott,245
