precinct,asian,black,hispanic,others,white,total,pct_asian,pct_black,pct_hispanic,pct_others,pct_white
1,6,26,1403,0,429,1857,0.32%,1.40%,75.55%,0.00%,23.10%
2,3,9,1087,22,640,1761,0.17%,0.51%,61.73%,1.25%,36.34%
3,2,3,73,12,460,550,0.36%,0.55%,13.27%,2.18%,83.64%
4,2,0,118,10,291,421,0.48%,0.00%,28.03%,2.38%,69.12%
5,50,67,1510,35,1160,2822,1.77%,2.37%,53.51%,1.24%,41.11%
6,1,1,55,2,154,213,0.47%,0.47%,25.82%,0.94%,72.30%
7,7,5,389,13,358,772,0.91%,0.65%,50.39%,1.68%,46.37%
8,7,13,2141,11,530,2702,0.26%,0.48%,79.24%,0.41%,19.62%
9,7,20,1958,0,190,2174,0.32%,0.92%,90.06%,0.00%,8.74%
10,12,25,1396,8,314,1755,0.68%,1.42%,79.54%,0.46%,17.89%
11,5,11,422,22,319,779,0.64%,1.41%,54.17%,2.82%,40.95%
12,83,45,2782,12,1117,4039,2.05%,1.11%,68.88%,0.30%,27.66%
13,21,41,3959,20,594,4635,0.45%,0.88%,85.42%,0.43%,12.82%
14,0,2,24,1,57,84,0.00%,2.38%,28.57%,1.19%,67.86%
