precinct,party,candidate,votes
1,DEM,Bill Mitchell,265
1,REP,Patrick McGrew,173
10,DEM,Bill Mitchell,280
10,REP,Patrick McGrew,106
11,DEM,Bill Mitchell,167
11,REP,Patrick McGrew,124
12,DEM,Bill Mitchell,787
12,REP,Patrick McGrew,535
13,DEM,Bill Mitchell,769
13,REP,Patrick McGrew,367
14,DEM,Bill Mitchell,45
14,REP,Patrick McGrew,34
2,DEM,Bill Mitchell,340
2,REP,Patrick McGrew,290
3,DEM,Bill Mitchell,132
3,REP,Patrick McGrew,276
4,DEM,Bill Mitchell,148
4,REP,Patrick McGrew,216
5,DEM,Bill Mitchell,555
5,REP,Patrick McGrew,382
6,DEM,Bill Mitchell,63
6,REP,Patrick McGrew,113
7,DEM,Bill Mitchell,184
7,REP,Patrick McGrew,203
8,DEM,Bill Mitchell,532
8,REP,Patrick McGrew,247
9,DEM,Bill Mitchell,415
9,REP,Patrick McGrew,133
