precinct,party,candidate,votes
1,DEM,Roland Gutierrez,200
1,REP,Robert Garza,242
10,DEM,Roland Gutierrez,236
10,REP,Robert Garza,150
11,DEM,Roland Gutierrez,77
11,REP,Robert Garza,211
12,DEM,Roland Gutierrez,552
12,REP,Robert Garza,766
13,DEM,Roland Gutierrez,686
13,REP,Robert Garza,426
14,DEM,Roland Gutierrez,13
14,REP,Robert Garza,66
2,DEM,Roland Gutierrez,206
2,REP,Robert Garza,425
3,DEM,Roland Gutierrez,25
3,REP,Robert Garza,380
4,DEM,Roland Gutierrez,45
4,REP,Robert Garza,323
5,DEM,Roland Gutierrez,257
5,REP,Robert Garza,676
6,DEM,Roland Gutierrez,25
6,REP,Robert Garza,152
7,DEM,Roland Gutierrez,70
7,REP,Robert Garza,313
8,DEM,Roland Gutierrez,423
8,REP,Robert Garza,341
9,DEM,Roland Gutierrez,407
9,REP,Robert Garza,133
