precinct,party,candidate,votes
1A,DEM,Kathy Cheng,138
1A,REP,Jane Bland,1099
1B,DEM,Kathy Cheng,262
1B,REP,Jane Bland,1774
1C,DEM,Kathy Cheng,79
1C,REP,Jane Bland,956
1D,DEM,Kathy Cheng,101
1D,REP,Jane Bland,859
1E,DEM,Kathy Cheng,120
1E,REP,Jane Bland,467
2A,DEM,Kathy Cheng,271
2A,REP,Jane Bland,2088
2B,DEM,Kathy Cheng,111
2B,REP,Jane Bland,1040
2C,DEM,Kathy Cheng,164
2C,REP,Jane Bland,1544
2D,DEM,Kathy Cheng,173
2D,REP,Jane Bland,1219
3A,DEM,Kathy Cheng,97
3A,REP,Jane Bland,690
3B,DEM,Kathy Cheng,260
3B,REP,Jane Bland,855
3C,DEM,Kathy Cheng,389
3C,REP,Jane Bland,1768
3D,DEM,Kathy Cheng,189
3D,REP,Jane Bland,1798
4A,DEM,Kathy Cheng,106
4A,REP,Jane Bland,834
4B,DEM,Kathy Cheng,142
4B,REP,Jane Bland,1154
4C,DEM,Kathy Cheng,156
4C,REP,Jane Bland,1040
4D,DEM,Kathy Cheng,382
4D,REP,Jane Bland,2027
4E,DEM,Kathy Cheng,106
4E,REP,Jane Bland,778
