precinct,party,candidate,votes
101,DEM,Kathy Cheng,392
101,REP,Jane Bland,903
102,DEM,Kathy Cheng,512
102,REP,Jane Bland,570
103,DEM,Kathy Cheng,387
103,REP,Jane Bland,491
104,DEM,Kathy Cheng,168
104,REP,Jane Bland,311
105,DEM,Kathy Cheng,99
105,REP,Jane Bland,488
206,DEM,Kathy Cheng,313
206,REP,Jane Bland,1755
207,DEM,Kathy Cheng,332
207,REP,Jane Bland,2234
208,DEM,Kathy Cheng,287
208,REP,Jane Bland,703
309,DEM,Kathy Cheng,1520
309,REP,Jane Bland,49
310,DEM,Kathy Cheng,728
310,REP,Jane Bland,220
311,DEM,Kathy Cheng,155
311,REP,Jane Bland,387
312,DEM,Kathy Cheng,194
312,REP,Jane Bland,1042
313,DEM,Kathy Cheng,176
313,REP,Jane Bland,317
414,DEM,Kathy Cheng,132
414,REP,Jane Bland,119
415,DEM,Kathy Cheng,243
415,REP,Jane Bland,742
416,DEM,Kathy Cheng,475
416,REP,Jane Bland,431
417,DEM,Kathy Cheng,455
417,REP,Jane Bland,257
418,DEM,Kathy Cheng,556
418,REP,Jane Bland,1721
419,DEM,Kathy Cheng,199
419,REP,Jane Bland,539
420,DEM,Kathy Cheng,387
420,REP,Jane Bland,1178
