precinct,party,candidate,votes
122,DEM,Kathy Cheng,190
122,REP,Jane Bland,108
124,DEM,Kathy Cheng,629
124,REP,Jane Bland,224
125,DEM,Kathy Cheng,340
125,REP,Jane Bland,123
128,DEM,Kathy Cheng,194
128,REP,Jane Bland,68
129,DEM,Kathy Cheng,754
129,REP,Jane Bland,285
130,DEM,Kathy Cheng,1251
130,REP,Jane Bland,485
132,DEM,Kathy Cheng,1279
132,REP,Jane Bland,552
133,DEM,Kathy Cheng,1264
133,REP,Jane Bland,580
134,DEM,Kathy Cheng,536
134,REP,Jane Bland,216
135,DEM,Kathy Cheng,333
135,REP,Jane Bland,126
136,DEM,Kathy Cheng,109
136,REP,Jane Bland,89
154,DEM,Kathy Cheng,401
154,REP,Jane Bland,199
164,DEM,Kathy Cheng,346
164,REP,Jane Bland,132
169,DEM,Kathy Cheng,403
169,REP,Jane Bland,199
215,DEM,Kathy Cheng,480
215,REP,Jane Bland,213
218,DEM,Kathy Cheng,691
218,REP,Jane Bland,324
219,DEM,Kathy Cheng,558
219,REP,Jane Bland,248
220,DEM,Kathy Cheng,409
220,REP,Jane Bland,166
221,DEM,Kathy Cheng,413
221,REP,Jane Bland,208
226,DEM,Kathy Cheng,406
226,REP,Jane Bland,175
227,DEM,Kathy Cheng,1636
227,REP,Jane Bland,879
231,DEM,Kathy Cheng,1311
231,REP,Jane Bland,695
237,DEM,Kathy Cheng,192
237,REP,Jane Bland,133
239,DEM,Kathy Cheng,1916
239,REP,Jane Bland,1178
252,DEM,Kathy Cheng,1056
252,REP,Jane Bland,518
255,DEM,Kathy Cheng,832
255,REP,Jane Bland,582
266,DEM,Kathy Cheng,485
266,REP,Jane Bland,202
267,DEM,Kathy Cheng,661
267,REP,Jane Bland,312
268,DEM,Kathy Cheng,91
268,REP,Jane Bland,69
308,DEM,Kathy Cheng,312
308,REP,Jane Bland,209
309,DEM,Kathy Cheng,1186
309,REP,Jane Bland,517
310,DEM,Kathy Cheng,179
310,REP,Jane Bland,67
311,DEM,Kathy Cheng,555
311,REP,Jane Bland,226
312,DEM,Kathy Cheng,374
312,REP,Jane Bland,141
338,DEM,Kathy Cheng,70
338,REP,Jane Bland,30
340,DEM,Kathy Cheng,803
340,REP,Jane Bland,683
341,DEM,Kathy Cheng,516
341,REP,Jane Bland,465
342,DEM,Kathy Cheng,811
342,REP,Jane Bland,526
343,DEM,Kathy Cheng,1014
343,REP,Jane Bland,592
344,DEM,Kathy Cheng,1978
344,REP,Jane Bland,1544
345,DEM,Kathy Cheng,913
345,REP,Jane Bland,561
349,DEM,Kathy Cheng,948
349,REP,Jane Bland,938
350,DEM,Kathy Cheng,12
350,REP,Jane Bland,25
351,DEM,Kathy Cheng,183
351,REP,Jane Bland,64
356,DEM,Kathy Cheng,1785
356,REP,Jane Bland,1391
359,DEM,Kathy Cheng,1509
359,REP,Jane Bland,947
360,DEM,Kathy Cheng,179
360,REP,Jane Bland,84
361,DEM,Kathy Cheng,525
361,REP,Jane Bland,247
362,DEM,Kathy Cheng,138
362,REP,Jane Bland,45
363,DEM,Kathy Cheng,304
363,REP,Jane Bland,126
401,DEM,Kathy Cheng,456
401,REP,Jane Bland,182
402,DEM,Kathy Cheng,521
402,REP,Jane Bland,171
403,DEM,Kathy Cheng,376
403,REP,Jane Bland,155
404,DEM,Kathy Cheng,580
404,REP,Jane Bland,184
405,DEM,Kathy Cheng,570
405,REP,Jane Bland,225
406,DEM,Kathy Cheng,289
406,REP,Jane Bland,102
407,DEM,Kathy Cheng,152
407,REP,Jane Bland,81
413,DEM,Kathy Cheng,606
413,REP,Jane Bland,240
414,DEM,Kathy Cheng,315
414,REP,Jane Bland,115
416,DEM,Kathy Cheng,294
416,REP,Jane Bland,115
417,DEM,Kathy Cheng,181
417,REP,Jane Bland,93
423,DEM,Kathy Cheng,319
423,REP,Jane Bland,93
446,DEM,Kathy Cheng,1288
446,REP,Jane Bland,586
447,DEM,Kathy Cheng,1007
447,REP,Jane Bland,797
448,DEM,Kathy Cheng,116
448,REP,Jane Bland,87
453,DEM,Kathy Cheng,153
453,REP,Jane Bland,54
457,DEM,Kathy Cheng,20
457,REP,Jane Bland,27
458,DEM,Kathy Cheng,1272
458,REP,Jane Bland,758
465,DEM,Kathy Cheng,255
465,REP,Jane Bland,102
