Precinct,Rep,Mod,Dem,Total,Rep Share,Mod Share,Dem Share,Winning Party,Party Strength
1,182,0,3,185,0.9837837838,0.0000000000,0.0162162162,Rep,3
2,354,6,16,376,0.9414893617,0.0159574468,0.0425531915,Rep,3
3,305,4,32,341,0.8944281525,0.0117302053,0.0938416422,Rep,3
4,114,3,13,130,0.8769230769,0.0230769231,0.1000000000,Rep,3
5,78,0,3,81,0.9629629630,0.0000000000,0.0370370370,Rep,3
6,73,1,5,79,0.9240506329,0.0126582278,0.0632911392,Rep,3
7,88,0,4,92,0.9565217391,0.0000000000,0.0434782609,Rep,3
8,327,10,35,372,0.8790322581,0.0268817204,0.0940860215,Rep,3
9,488,5,50,543,0.8987108656,0.0092081031,0.0920810313,Rep,3
10,88,0,1,89,0.9887640449,0.0000000000,0.0112359551,Rep,3
