precinct,party,candidate,votes
101,DEM,Brandon Birmingham,37
101,REP,David Newell,176
102,DEM,Brandon Birmingham,151
102,REP,David Newell,483
103,DEM,Brandon Birmingham,876
103,REP,David Newell,2560
104,DEM,Brandon Birmingham,203
104,REP,David Newell,599
105,DEM,Brandon Birmingham,606
105,REP,David Newell,1498
106,DEM,Brandon Birmingham,69
106,REP,David Newell,576
107,DEM,Brandon Birmingham,7
107,REP,David Newell,29
108,DEM,Brandon Birmingham,545
108,REP,David Newell,1935
109,DEM,Brandon Birmingham,688
109,REP,David Newell,2014
110,DEM,Brandon Birmingham,133
110,REP,David Newell,288
111,DEM,Brandon Birmingham,169
111,REP,David Newell,186
112,DEM,Brandon Birmingham,10
112,REP,David Newell,7
113,DEM,Brandon Birmingham,140
113,REP,David Newell,257
114,DEM,Brandon Birmingham,1
114,REP,David Newell,33
115,DEM,Brandon Birmingham,5
115,REP,David Newell,0
116,DEM,Brandon Birmingham,2
116,REP,David Newell,30
117,DEM,Brandon Birmingham,3
117,REP,David Newell,32
201,DEM,Brandon Birmingham,591
201,REP,David Newell,1011
202,DEM,Brandon Birmingham,327
202,REP,David Newell,781
203,DEM,Brandon Birmingham,373
203,REP,David Newell,582
204,DEM,Brandon Birmingham,53
204,REP,David Newell,413
205,DEM,Brandon Birmingham,473
205,REP,David Newell,2210
206,DEM,Brandon Birmingham,352
206,REP,David Newell,1584
207,DEM,Brandon Birmingham,142
207,REP,David Newell,260
208,DEM,Brandon Birmingham,18
208,REP,David Newell,82
209,DEM,Brandon Birmingham,0
209,REP,David Newell,0
210,DEM,Brandon Birmingham,0
210,REP,David Newell,0
211,DEM,Brandon Birmingham,48
211,REP,David Newell,98
301,DEM,Brandon Birmingham,8
301,REP,David Newell,9
302,DEM,Brandon Birmingham,369
302,REP,David Newell,482
303,DEM,Brandon Birmingham,575
303,REP,David Newell,367
304,DEM,Brandon Birmingham,66
304,REP,David Newell,76
305,DEM,Brandon Birmingham,81
305,REP,David Newell,142
306,DEM,Brandon Birmingham,404
306,REP,David Newell,138
307,DEM,Brandon Birmingham,40
307,REP,David Newell,119
308,DEM,Brandon Birmingham,164
308,REP,David Newell,142
309,DEM,Brandon Birmingham,292
309,REP,David Newell,2447
310,DEM,Brandon Birmingham,126
310,REP,David Newell,980
311,DEM,Brandon Birmingham,540
311,REP,David Newell,266
312,DEM,Brandon Birmingham,10
312,REP,David Newell,14
313,DEM,Brandon Birmingham,8
313,REP,David Newell,4
314,DEM,Brandon Birmingham,3
314,REP,David Newell,8
315,DEM,Brandon Birmingham,20
315,REP,David Newell,78
316,DEM,Brandon Birmingham,12
316,REP,David Newell,13
317,DEM,Brandon Birmingham,10
317,REP,David Newell,50
318,DEM,Brandon Birmingham,56
318,REP,David Newell,208
319,DEM,Brandon Birmingham,11
319,REP,David Newell,24
401,DEM,Brandon Birmingham,386
401,REP,David Newell,1155
402,DEM,Brandon Birmingham,126
402,REP,David Newell,361
403,DEM,Brandon Birmingham,430
403,REP,David Newell,1138
404,DEM,Brandon Birmingham,431
404,REP,David Newell,1564
405,DEM,Brandon Birmingham,415
405,REP,David Newell,709
406,DEM,Brandon Birmingham,538
406,REP,David Newell,1441
407,DEM,Brandon Birmingham,372
407,REP,David Newell,631
408,DEM,Brandon Birmingham,3
408,REP,David Newell,7
409,DEM,Brandon Birmingham,1
409,REP,David Newell,13
410,DEM,Brandon Birmingham,45
410,REP,David Newell,174
411,DEM,Brandon Birmingham,156
411,REP,David Newell,348
412,DEM,Brandon Birmingham,51
412,REP,David Newell,456
413,DEM,Brandon Birmingham,85
413,REP,David Newell,429
414,DEM,Brandon Birmingham,78
414,REP,David Newell,411
